source,target,relation,structural
player_0197,playerType_0197,isDescribedByType,False
playerType_0086,player_0086,describesPlayer,False
leadsToEnjoyment,Avatars,domain,False
instrPlan_0089,strategy_0089,strategicTutoring,False
targetBehavior_0123,metric_0245,hasMetric,False
targetBehavior_0359,metric_0534,hasMetric,False
playerType_0139,player_0139,describesPlayer,False
instrPlan_0054,strategy_0054,strategicTutoring,False
playerModel_0148,player_0148,classifiesPlayer,False
studentModel_0152,behavKnowledge_0152,hasBehaviouralKnowledge,False
targetBehavior_0251,metric_0034,hasMetric,False
targetBehavior_0101,metric_0087,hasMetric,False
playerType_0160,player_0160,describesPlayer,False
playerType_0076,player_0076,describesPlayer,False
studentModel_0113,player_0113,includes,False
studentModel_0104,player_0104,includes,False
tactic,string,range,False
targetBehavior_0330,metric_0276,hasMetric,False
designPractice_0029,achievements_0007,hasGameElement,False
targetBehavior_0164,metric_0315,hasMetric,False
designPractice_0014,achievements_0020,hasGameElement,False
Container,Thing,subClassOf,True
player_0046,playerModel_0046,isClassifiedBy,False
designPractice_0025,competition_0015,hasGameElement,False
studentModel_0001,player_0001,includes,False
playerModel_0076,player_0076,classifiesPlayer,False
player_0011,playerModel_0011,isClassifiedBy,False
playerModel_0020,player_0020,classifiesPlayer,False
targetBehavior_0359,metric_0407,hasMetric,False
player_0160,playerType_0160,isDescribedByType,False
targetBehavior_0106,metric_0396,hasMetric,False
studentModel_0046,player_0046,includes,False
player_0146,playerModel_0146,isClassifiedBy,False
player_0009,playerModel_0009,isClassifiedBy,False
gamifiedITS_0037,studentModel_0172,hasStudentModel,False
Bug_Misconception,Thing,subClassOf,True
studentModel_0016,player_0016,includes,False
has_Curriculum,Curriculum,range,False
player_0148,playerModel_0148,isClassifiedBy,False
gamifiedITS_0011,studentModel_0036,hasStudentModel,False
instrPlan_0185,strategy_0185,strategicTutoring,False
playerType_0151,player_0151,describesPlayer,False
studentModel_0107,behavKnowledge_0107,hasBehaviouralKnowledge,False
gamifiedITS_0029,gamModel_0031,hasGamificationModel,False
player_0178,playerType_0178,isDescribedByType,False
playerType_0013,player_0013,describesPlayer,False
targetBehavior_0127,metric_0057,hasMetric,False
player_0071,playerModel_0071,isClassifiedBy,False
targetBehavior_0316,metric_0152,hasMetric,False
targetBehavior_0251,metric_0187,hasMetric,False
designPractice_0020,chances_0015,hasGameElement,False
targetBehavior_0036,metric_0587,hasMetric,False
targetBehavior_0064,metric_0548,hasMetric,False
instrPlan_0076,strategy_0076,strategicTutoring,False
targetBehavior_0374,metric_0308,hasMetric,False
player_0053,playerType_0053,isDescribedByType,False
player_0131,playerType_0131,isDescribedByType,False
targetBehavior_0303,metric_0585,hasMetric,False
studentModel_0182,behavKnowledge_0182,hasBehaviouralKnowledge,False
playerModel_0079,player_0079,classifiesPlayer,False
gamModel_0005,progLoop_0005,hasActivityLoops,False
studentModel_0136,player_0136,includes,False
gamifiedITS_0012,studentModel_0176,hasStudentModel,False
Motivation_And_Need_Theory,Thing,subClassOf,True
instrPlan_0148,strategy_0148,strategicTutoring,False
gamifiedITS_0022,studentModel_0200,hasStudentModel,False
instrPlan_0103,strategy_0103,strategicTutoring,False
designPractice_0011,targetBehavior_0010,hasTargetBehavior,False
gamifiedITS_0031,instrPlan_0048,hasPedagogicalModel,False
playerModel_0174,player_0174,classifiesPlayer,False
designPractice_0039,boss_fights_0011,hasGameElement,False
targetBehavior_0072,metric_0128,hasMetric,False
studentModel_0161,behavKnowledge_0161,hasBehaviouralKnowledge,False
studentModel_0139,player_0139,includes,False
designPractice_0021,competition_0019,hasGameElement,False
Error_Bug,Thing,subClassOf,True
leadsToEnjoyment,Rewards,domain,False
targetBehavior_0212,metric_0393,hasMetric,False
targetBehavior_0283,metric_0302,hasMetric,False
targetBehavior_0291,metric_0380,hasMetric,False
targetBehavior_0329,metric_0308,hasMetric,False
playerModel_0163,player_0163,classifiesPlayer,False
targetBehavior_0136,metric_0079,hasMetric,False
instrPlan_0026,sequencing_0026,has_Sequencing,False
playerType_0016,player_0016,describesPlayer,False
studentModel_0158,behavKnowledge_0158,hasBehaviouralKnowledge,False
hasGamification,Non-Game_Context,domain,False
studentModel_0159,behavKnowledge_0159,hasBehaviouralKnowledge,False
loopQuality,Engagement_Loop,domain,False
gamifiedITS_0064,instrPlan_0117,hasPedagogicalModel,False
targetBehavior_0322,metric_0148,hasMetric,False
DomainModel,Thing,subClassOf,True
player_0099,playerModel_0099,isClassifiedBy,False
studentModel_0120,behavKnowledge_0120,hasBehaviouralKnowledge,False
targetBehavior_0043,metric_0121,hasMetric,False
targetBehavior_0080,metric_0440,hasMetric,False
studentModel_0166,player_0166,includes,False
studentModel_0096,player_0096,includes,False
targetBehavior_0131,metric_0266,hasMetric,False
playerType_0177,player_0177,describesPlayer,False
instrPlan_0001,sequencing_0001,has_Sequencing,False
studentModel_0083,player_0083,includes,False
playerType_0053,player_0053,describesPlayer,False
playerType_0068,player_0068,describesPlayer,False
playerType_0156,player_0156,describesPlayer,False
targetBehavior_0059,metric_0078,hasMetric,False
player_0192,playerType_0192,isDescribedByType,False
metricValue,Metric,domain,False
targetBehavior_0310,metric_0069,hasMetric,False
instrPlan_0070,sequencing_0070,has_Sequencing,False
studentModel_0155,behavKnowledge_0155,hasBehaviouralKnowledge,False
studentModel_0182,player_0182,includes,False
targetBehavior_0054,metric_0130,hasMetric,False
playerType_0171,player_0171,describesPlayer,False
gamifiedITS_0018,instrPlan_0187,hasPedagogicalModel,False
targetBehavior_0248,metric_0315,hasMetric,False
player_0054,playerType_0054,isDescribedByType,False
instrPlan_0043,sequencing_0043,has_Sequencing,False
gamifiedITS_0025,gamModel_0039,hasGamificationModel,False
instrPlan_0081,sequencing_0081,has_Sequencing,False
player_0161,playerModel_0161,isClassifiedBy,False
targetBehavior_0384,metric_0482,hasMetric,False
studentModel_0096,behavKnowledge_0096,hasBehaviouralKnowledge,False
studentModel_0184,behavKnowledge_0184,hasBehaviouralKnowledge,False
studentModel_0006,behavKnowledge_0006,hasBehaviouralKnowledge,False
instrPlan_0121,sequencing_0121,has_Sequencing,False
playerModel_0100,player_0100,classifiesPlayer,False
targetBehavior_0256,metric_0012,hasMetric,False
studentModel_0084,behavKnowledge_0084,hasBehaviouralKnowledge,False
Activity,Thing,subClassOf,True
targetBehavior_0345,metric_0501,hasMetric,False
targetBehavior_0325,metric_0487,hasMetric,False
studentModel_0174,player_0174,includes,False
targetBehavior_0195,metric_0228,hasMetric,False
targetBehavior_0290,metric_0272,hasMetric,False
player_0060,playerType_0060,isDescribedByType,False
playerModel_0050,player_0050,classifiesPlayer,False
playerType_0051,player_0051,describesPlayer,False
URIResource,Thing,subClassOf,True
gamifiedITS_0050,gamModel_0026,hasGamificationModel,False
targetBehavior_0239,metric_0182,hasMetric,False
playerType_0098,player_0098,describesPlayer,False
gamifiedITS_0022,gamModel_0013,hasGamificationModel,False
player_0123,playerType_0123,isDescribedByType,False
targetBehavior_0084,metric_0532,hasMetric,False
Player_Model,Thing,subClassOf,True
studentModel_0044,player_0044,includes,False
player_0012,playerType_0012,isDescribedByType,False
instrPlan_0169,sequencing_0169,has_Sequencing,False
effectivenessName,CategoryEffectiveness,domain,False
isDescribedByModel,Player_Type,domain,False
targetBehavior_0160,metric_0420,hasMetric,False
instrPlan_0068,strategy_0068,strategicTutoring,False
gamifiedITS_0057,gamModel_0010,hasGamificationModel,False
playerModel_0134,player_0134,classifiesPlayer,False
next_Curriculum,CurriculumUnit,domain,False
playerType_0018,player_0018,describesPlayer,False
targetBehavior_0209,metric_0511,hasMetric,False
leadsToPerformance,Rewards,domain,False
Collections,Thing,subClassOf,True
isSatisfiedWith,Game_Design_Element,range,False
hasGamification,isAppliedTo,inverseOf,False
targetBehavior_0012,metric_0117,hasMetric,False
player_0189,playerType_0189,isDescribedByType,False
targetBehavior_0125,metric_0445,hasMetric,False
designPractice_0047,targetBehavior_0373,hasTargetBehavior,False
playerType_0040,player_0040,describesPlayer,False
instrPlan_0175,strategy_0175,strategicTutoring,False
gamifiedITS_0006,gamModel_0015,hasGamificationModel,False
designPractice_0028,targetBehavior_0107,hasTargetBehavior,False
targetBehavior_0392,metric_0324,hasMetric,False
player_0007,playerModel_0007,isClassifiedBy,False
targetBehavior_0374,metric_0368,hasMetric,False
instrPlan_0159,strategy_0159,strategicTutoring,False
playerType_0052,player_0052,describesPlayer,False
studentModel_0034,behavKnowledge_0034,hasBehaviouralKnowledge,False
targetBehavior_0243,metric_0104,hasMetric,False
player_0095,playerType_0095,isDescribedByType,False
playerModel_0199,player_0199,classifiesPlayer,False
playerType_0097,player_0097,describesPlayer,False
targetBehavior_0029,metric_0455,hasMetric,False
designPractice_0031,social_graph_0002,hasGameElement,False
designPractice_0047,turns_0008,hasGameElement,False
makesUseOf,Motivation_And_Need_Theory,range,False
gamModel_0021,progLoop_0021,hasActivityLoops,False
targetBehavior_0167,metric_0045,hasMetric,False
designPractice_0046,boss_fights_0004,hasGameElement,False
targetBehavior_0075,metric_0136,hasMetric,False
gamModel_0031,engLoop_0031,hasActivityLoops,False
playerType_0193,player_0193,describesPlayer,False
player_0040,playerModel_0040,isClassifiedBy,False
targetBehavior_0097,metric_0103,hasMetric,False
gamifiedITS_0023,studentModel_0034,hasStudentModel,False
targetBehavior_0116,metric_0294,hasMetric,False
targetBehavior_0360,metric_0105,hasMetric,False
playerType_0084,player_0084,describesPlayer,False
leadsToParticipation,Leaderboards,domain,False
player_0019,playerModel_0019,isClassifiedBy,False
studentModel_0045,behavKnowledge_0045,hasBehaviouralKnowledge,False
MultipleChoiceProblem,Thing,subClassOf,True
player_0164,playerModel_0164,isClassifiedBy,False
playerModel_0160,player_0160,classifiesPlayer,False
Challenges,Thing,subClassOf,True
targetBehavior_0066,metric_0507,hasMetric,False
studentModel_0179,behavKnowledge_0179,hasBehaviouralKnowledge,False
studentModel_0114,behavKnowledge_0114,hasBehaviouralKnowledge,False
playerModel_0021,player_0021,classifiesPlayer,False
player_0096,playerType_0096,isDescribedByType,False
strategicTutoring,Strategy,range,False
player_0074,playerModel_0074,isClassifiedBy,False
playerModel_0126,player_0126,classifiesPlayer,False
targetBehavior_0253,metric_0340,hasMetric,False
studentModel_0192,behavKnowledge_0192,hasBehaviouralKnowledge,False
targetBehavior_0226,metric_0590,hasMetric,False
instrPlan_0005,sequencing_0005,has_Sequencing,False
targetBehavior_0285,metric_0212,hasMetric,False
instrPlan_0009,sequencing_0009,has_Sequencing,False
player_0005,playerType_0005,isDescribedByType,False
player_0142,playerType_0142,isDescribedByType,False
instrPlan_0023,sequencing_0023,has_Sequencing,False
designPractice_0038,competition_0018,hasGameElement,False
playerModel_0033,player_0033,classifiesPlayer,False
instrPlan_0179,sequencing_0179,has_Sequencing,False
designPractice_0045,content_unlocking_0005,hasGameElement,False
gamifiedITS_0014,instrPlan_0168,hasPedagogicalModel,False
instrPlan_0027,strategy_0027,strategicTutoring,False
player_0162,playerModel_0162,isClassifiedBy,False
gamifiedITS_0061,studentModel_0140,hasStudentModel,False
studentModel_0032,player_0032,includes,False
targetBehavior_0254,metric_0080,hasMetric,False
player_0086,playerType_0086,isDescribedByType,False
playerModel_0034,player_0034,classifiesPlayer,False
typeStrategyTutoring,string,range,False
targetBehavior_0304,metric_0151,hasMetric,False
studentModel_0107,player_0107,includes,False
targetBehavior_0042,metric_0090,hasMetric,False
gamModel_0034,engLoop_0034,hasActivityLoops,False
playerType_0104,player_0104,describesPlayer,False
studentModel_0170,player_0170,includes,False
gamifiedITS_0029,instrPlan_0035,hasPedagogicalModel,False
player_0085,playerModel_0085,isClassifiedBy,False
instrPlan_0050,sequencing_0050,has_Sequencing,False
typeTactic,string,range,False
targetBehavior_0051,metric_0527,hasMetric,False
FillBlanksOption,Thing,subClassOf,True
gamModel_0036,engLoop_0036,hasActivityLoops,False
targetBehavior_0347,metric_0359,hasMetric,False
targetBehavior_0229,metric_0326,hasMetric,False
instrPlan_0176,strategy_0176,strategicTutoring,False
targetBehavior_0132,metric_0276,hasMetric,False
studentModel_0079,behavKnowledge_0079,hasBehaviouralKnowledge,False
Transactions,Thing,subClassOf,True
instrPlan_0199,sequencing_0199,has_Sequencing,False
player_0068,playerModel_0068,isClassifiedBy,False
studentModel_0164,behavKnowledge_0164,hasBehaviouralKnowledge,False
instrPlan_0154,strategy_0154,strategicTutoring,False
instrPlan_0128,strategy_0128,strategicTutoring,False
designPractice_0037,targetBehavior_0005,hasTargetBehavior,False
gamModel_0004,engLoop_0004,hasActivityLoops,False
instrPlan_0184,strategy_0184,strategicTutoring,False
playerModel_0031,player_0031,classifiesPlayer,False
