source,target,probability_mean,probability_std,known_positive,source_type,target_type
Strings,Stash,0.5536011485122141,0.11176132327020812,True,NamedIndividual,NamedIndividual
Strings,Tiny_stash,0.5536011485122141,0.11176132327020812,False,NamedIndividual,NamedIndividual
Overriding,Level_Up,0.5452929111629183,0.11226467018821185,True,NamedIndividual,NamedIndividual
Overriding,Tiny_stash,0.5451901110320743,0.11239752060069647,False,NamedIndividual,NamedIndividual
Overriding,Stash,0.5451901110320743,0.11239752060069647,False,NamedIndividual,NamedIndividual
Overriding,BLockGame,0.5451901110320743,0.11239752060069647,False,NamedIndividual,NamedIndividual
Multi-level_inheritance,Level_Up,0.53950336484733,0.09964837636153671,True,NamedIndividual,NamedIndividual
Multi-level_inheritance,Stash,0.5394034018975772,0.09977746150135314,False,NamedIndividual,NamedIndividual
Multi-level_inheritance,Tiny_stash,0.5394034018975772,0.09977746150135314,False,NamedIndividual,NamedIndividual
Multi-level_inheritance,BLockGame,0.5394034018975772,0.09977746150135314,False,NamedIndividual,NamedIndividual
Overloaded_constructors,Level_Up,0.5203989336778947,0.10091185511559445,True,NamedIndividual,NamedIndividual
Overloaded_constructors,Tiny_stash,0.5203057894995042,0.10101962971996481,False,NamedIndividual,NamedIndividual
Overloaded_constructors,Stash,0.5203057894995042,0.10101962971996481,False,NamedIndividual,NamedIndividual
Overloaded_constructors,BLockGame,0.5203057894995042,0.10101962971996481,False,NamedIndividual,NamedIndividual
Control_Statements,Level_Up,0.5140759277023319,0.10420800156445134,False,NamedIndividual,NamedIndividual
Control_Statements,Stash,0.5139741050876621,0.10430283885657167,True,NamedIndividual,NamedIndividual
Control_Statements,BLockGame,0.5139741050876621,0.10430283885657167,True,NamedIndividual,NamedIndividual
Control_Statements,Tiny_stash,0.5139741050876621,0.10430283885657167,False,NamedIndividual,NamedIndividual
Loops,Level_Up,0.4913272566448622,0.13240307779538468,False,NamedIndividual,NamedIndividual
Loops,BLockGame,0.4912236339699202,0.13245716536181187,True,NamedIndividual,NamedIndividual
Loops,Tiny_stash,0.4912236339699202,0.13245716536181187,False,NamedIndividual,NamedIndividual
Loops,Stash,0.4912236339699202,0.13245716536181187,False,NamedIndividual,NamedIndividual
gr,bonusPoints,0.35525158649088223,0.32731349844251156,True,NamedIndividual,NamedIndividual
demo_GR2,Availability_Block_Game_by_level,0.3552515864908822,0.3273134984425116,True,NamedIndividual,NamedIndividual
gr,Availability_Block_Game_by_level,0.3552515864908822,0.3273134984425116,False,NamedIndividual,NamedIndividual
demo_GR2,bonusPoints,0.3552515864908822,0.3273134984425116,False,NamedIndividual,NamedIndividual
demo_GR1,bonusPoints,0.3552515864908822,0.3273134984425116,False,NamedIndividual,NamedIndividual
demo_GR1,Availability_Block_Game_by_level,0.3552515864908822,0.3273134984425116,False,NamedIndividual,NamedIndividual
Overloaded_constructors,bonusPoints,0.24820293262827628,0.23862897173398914,False,NamedIndividual,NamedIndividual
gr,BLockGame,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR1,Stash,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
gr,Tiny_stash,0.16539091665925193,0.15155244982906044,False,NamedIndividual,NamedIndividual
gr,Stash,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR2,BLockGame,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR2,Tiny_stash,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR1,Tiny_stash,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR2,Stash,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
demo_GR1,BLockGame,0.16539091665925193,0.1515524498290604,False,NamedIndividual,NamedIndividual
Variables,bonusPoints,0.061752685947652264,0.07845381667756084,False,NamedIndividual,NamedIndividual
Overriding,Availability_Block_Game_by_level,0.04944382920895476,0.057525134747575916,False,NamedIndividual,NamedIndividual
Overloading,Availability_Block_Game_by_level,0.0481562970527443,0.055789681530754566,False,NamedIndividual,NamedIndividual
Buil-in_Data_Types,Availability_Block_Game_by_level,0.04632514652931689,0.050746444819244146,False,NamedIndividual,NamedIndividual
Arithmetic_operations,Availability_Block_Game_by_level,0.03354208533082222,0.03724232038142641,False,NamedIndividual,NamedIndividual
Task_about_Java_Basics,bonusPoints,0.02543832848681733,0.024465680864611247,False,NamedIndividual,NamedIndividual
Strings,bonusPoints,0.0223571653561039,0.023751621586985686,False,NamedIndividual,NamedIndividual
Functions,Availability_Block_Game_by_level,0.02233733563424568,0.023804371380567554,False,NamedIndividual,NamedIndividual
Control_Statements,Availability_Block_Game_by_level,0.0216388559242243,0.024221486483084236,False,NamedIndividual,NamedIndividual
Multi-level_inheritance,bonusPoints,0.021329579758131788,0.023185300545913032,False,NamedIndividual,NamedIndividual
Loops,Availability_Block_Game_by_level,0.020976434492013016,0.024903673118288196,False,NamedIndividual,NamedIndividual
