# CLASS: Tactic
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#Tactic
# COLUMNS:
#   id: id — Unique identifier, e.g. tactic_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   tactic: data — str
#   time: data — float
#   typeAssessment: data — str
#   typeTactic: data — str
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_isChildOf_Tactic: object — Ref to ['Tactic', 'Tactic']
#   REF_isParentOf_Tactic: object — Ref to ['Tactic', 'Tactic']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,tactic,time,typeAssessment,typeTactic,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_isChildOf_Tactic,REF_isParentOf_Tactic,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
tactic_0011,survivor,hippocampus,oxytocin,Chemistry,example_first,16.34,project,diagnostic,27.1,desiredPoints_value_587,Algebra,hint_usage,hard,Formula inversion,hasPG_value_808,hasPS_value_824,hasPT_value_684,typeB,cluster_5,hard,precedence_value_538,0.355,0.665,0.778,hasCalculations_value_811,hasSuggestedTags_value_893,has_Answers_value_753,has_Epoch_value_318,has_Knowledge_value_309,has_token_value_994,superKC_value_337,OptionAnswer_value_83,Could be improved,context_value_269,corrected_value_182,currentOperation_value_121,pending,64,enabled_value_144,2023-10-24,Concept conflation,exercise_value_96,Sample hint text #263,item_value_136,expert,xp_earned,methodStep_value_57,methodname_62,multipleChoiceAnswer_value_66,numberOfFavorites_value_225,numberOfViews_value_208,19,2023-02-09,2023-04-18,Sample question text #133,resolution_value_452,size_value_413,2023-05-22,stepName_51,4,Algebra,2023-03-07,data_science,Advanced Geography,Sample tokenized_statement text #361,typeB,,,engagementLoop_0002|engagementLoop_0005,,tactic_0008|tactic_0004,tactic_0004,strategy_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0012,social,striatum,acetylcholine,Statistics,example_first,6.03,peer_review,diagnostic,46.09,desiredPoints_value_28,Biology,progress_ratio,medium,Unit confusion,hasPG_value_410,hasPS_value_573,hasPT_value_405,typeA,cluster_1,expert,precedence_value_352,0.969,0.948,0.563,hasCalculations_value_837,hasSuggestedTags_value_614,has_Answers_value_90,has_Epoch_value_780,has_Knowledge_value_676,has_token_value_802,superKC_value_656,OptionAnswer_value_597,Needs more examples,context_value_563,corrected_value_956,currentOperation_value_162,active,70,enabled_value_861,2023-12-07,Causal reversal,exercise_value_329,Sample hint text #14,item_value_454,medium,progress_ratio,methodStep_value_513,methodname_39,multipleChoiceAnswer_value_545,numberOfFavorites_value_654,numberOfViews_value_962,11,2023-06-01,2023-06-02,Sample question text #401,resolution_value_522,size_value_122,2023-06-04,stepName_88,3,History,2023-07-05,computer_science,Advanced Chemistry,Sample tokenized_statement text #342,typeB,,,engagementLoop_0004|engagementLoop_0006|engagementLoop_0003,,tactic_0011|tactic_0001,tactic_0010,strategy_0012|strategy_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0013,cooperative,cerebellum,dopamine,History,test_first,87.17,exam,summative,8.33,desiredPoints_value_867,Calculus,hint_usage,expert,Unit confusion,hasPG_value_209,hasPS_value_666,hasPT_value_36,typeA,cluster_3,hard,precedence_value_395,0.75,0.244,0.262,hasCalculations_value_333,hasSuggestedTags_value_291,has_Answers_value_342,has_Epoch_value_819,has_Knowledge_value_4,has_token_value_92,superKC_value_129,OptionAnswer_value_672,Needs more examples,context_value_144,corrected_value_76,currentOperation_value_930,pending,76,enabled_value_103,2023-04-03,Sign error,exercise_value_996,Sample hint text #55,item_value_983,hard,progress_ratio,methodStep_value_251,methodname_08,multipleChoiceAnswer_value_567,numberOfFavorites_value_588,numberOfViews_value_533,20,2023-12-08,2023-01-19,Sample question text #719,resolution_value_156,size_value_670,2023-03-05,stepName_92,2,Chemistry,2023-12-10,physics,Advanced Physics,Sample tokenized_statement text #437,typeB,,,engagementLoop_0005|engagementLoop_0002|engagementLoop_0003,,tactic_0007|tactic_0010|tactic_0005,tactic_0005,strategy_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0014,survivor,striatum,acetylcholine,History,hint_first,68.37,quiz,diagnostic,0.71,desiredPoints_value_968,Statistics,engagement_score,expert,Sign error,hasPG_value_336,hasPS_value_708,hasPT_value_873,typeB,cluster_5,expert,precedence_value_190,0.365,0.829,0.35,hasCalculations_value_19,hasSuggestedTags_value_749,has_Answers_value_119,has_Epoch_value_145,has_Knowledge_value_93,has_token_value_223,superKC_value_373,OptionAnswer_value_341,Needs more examples,context_value_54,corrected_value_122,currentOperation_value_166,pending,33,enabled_value_259,2023-11-07,Formula inversion,exercise_value_747,Sample hint text #265,item_value_399,expert,progress_ratio,methodStep_value_228,methodname_60,multipleChoiceAnswer_value_64,numberOfFavorites_value_437,numberOfViews_value_487,11,2023-07-10,2023-05-01,Sample question text #216,resolution_value_645,size_value_89,2023-05-17,stepName_23,6,Physics,2023-02-20,data_science,Introduction to Economics,Sample tokenized_statement text #932,typeB,,,engagementLoop_0006|engagementLoop_0006|engagementLoop_0001,,tactic_0012|tactic_0011,tactic_0006,strategy_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0015,survivor,cerebellum,norepinephrine,Calculus,test_first,31.72,exercise,summative,82.38,desiredPoints_value_611,History,attempt_count,easy,Unit confusion,hasPG_value_991,hasPS_value_536,hasPT_value_836,typeA,cluster_4,easy,precedence_value_474,0.159,0.985,0.503,hasCalculations_value_801,hasSuggestedTags_value_593,has_Answers_value_591,has_Epoch_value_205,has_Knowledge_value_984,has_token_value_975,superKC_value_594,OptionAnswer_value_154,Could be improved,context_value_847,corrected_value_545,currentOperation_value_650,paused,117,enabled_value_398,2023-09-19,Concept conflation,exercise_value_15,Sample hint text #101,item_value_32,expert,streak_count,methodStep_value_695,methodname_44,multipleChoiceAnswer_value_964,numberOfFavorites_value_788,numberOfViews_value_911,6,2023-09-12,2023-05-10,Sample question text #752,resolution_value_201,size_value_33,2023-06-06,stepName_85,7,Data Science,2023-07-04,history,Introduction to Biology,Sample tokenized_statement text #443,typeA,,,engagementLoop_0005|engagementLoop_0001|engagementLoop_0010,,tactic_0006|tactic_0001|tactic_0015,tactic_0008|tactic_0005,strategy_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0016,survivor,amygdala,dopamine,Chemistry,spaced_repetition,29.38,quiz,summative,57.01,desiredPoints_value_233,Philosophy,engagement_score,expert,Causal reversal,hasPG_value_575,hasPS_value_525,hasPT_value_866,typeA,cluster_1,hard,precedence_value_521,0.369,0.1,0.348,hasCalculations_value_612,hasSuggestedTags_value_26,has_Answers_value_759,has_Epoch_value_368,has_Knowledge_value_886,has_token_value_272,superKC_value_175,OptionAnswer_value_904,Too abstract,context_value_570,corrected_value_776,currentOperation_value_458,pending,86,enabled_value_46,2023-05-04,Unit confusion,exercise_value_512,Sample hint text #992,item_value_107,hard,error_rate,methodStep_value_697,methodname_66,multipleChoiceAnswer_value_881,numberOfFavorites_value_776,numberOfViews_value_930,17,2023-08-16,2023-10-25,Sample question text #358,resolution_value_868,size_value_805,2023-02-11,stepName_90,13,Philosophy,2023-10-27,chemistry,Introduction to History,Sample tokenized_statement text #606,typeA,,,engagementLoop_0007|engagementLoop_0005|engagementLoop_0002,,tactic_0005|tactic_0010|tactic_0003,tactic_0001|tactic_0004|tactic_0015,strategy_0016|strategy_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0017,competitive,cerebellum,oxytocin,History,review_first,77.45,peer_review,formative,30.48,desiredPoints_value_926,Geography,streak_count,medium,Concept conflation,hasPG_value_310,hasPS_value_142,hasPT_value_479,typeB,cluster_4,expert,precedence_value_285,0.102,0.336,0.779,hasCalculations_value_287,hasSuggestedTags_value_940,has_Answers_value_418,has_Epoch_value_753,has_Knowledge_value_385,has_token_value_782,superKC_value_986,OptionAnswer_value_452,Challenging but rewarding,context_value_352,corrected_value_848,currentOperation_value_430,completed,92,enabled_value_454,2023-02-13,Unit confusion,exercise_value_243,Sample hint text #407,item_value_70,easy,score,methodStep_value_981,methodname_52,multipleChoiceAnswer_value_825,numberOfFavorites_value_531,numberOfViews_value_378,19,2023-06-05,2023-05-03,Sample question text #928,resolution_value_507,size_value_121,2023-07-17,stepName_64,10,Computer Science,2023-09-06,geography,Introduction to Calculus,Sample tokenized_statement text #654,typeA,,,engagementLoop_0007|engagementLoop_0006,,tactic_0006|tactic_0001,tactic_0006,strategy_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0018,survivor,cerebellum,oxytocin,Biology,hint_first,78.49,peer_review,diagnostic,77.31,desiredPoints_value_277,Physics,error_rate,easy,Off-by-one error,hasPG_value_760,hasPS_value_133,hasPT_value_47,typeA,cluster_4,hard,precedence_value_479,0.258,0.56,0.995,hasCalculations_value_704,hasSuggestedTags_value_487,has_Answers_value_583,has_Epoch_value_447,has_Knowledge_value_99,has_token_value_603,superKC_value_891,OptionAnswer_value_831,Too abstract,context_value_908,corrected_value_133,currentOperation_value_194,active,28,enabled_value_757,2023-02-06,Unit confusion,exercise_value_330,Sample hint text #823,item_value_711,medium,hint_usage,methodStep_value_877,methodname_62,multipleChoiceAnswer_value_768,numberOfFavorites_value_9,numberOfViews_value_522,1,2023-12-16,2023-01-19,Sample question text #185,resolution_value_473,size_value_530,2023-11-26,stepName_47,15,History,2023-12-07,literature,Critical Thinking,Sample tokenized_statement text #296,typeA,,,engagementLoop_0009|engagementLoop_0006,,tactic_0002|tactic_0012|tactic_0004,tactic_0007,strategy_0007|strategy_0001|strategy_0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0019,social,striatum,acetylcholine,Philosophy,example_first,92.18,quiz,summative,77.51,desiredPoints_value_179,Philosophy,engagement_score,medium,Sign error,hasPG_value_803,hasPS_value_772,hasPT_value_793,typeA,cluster_1,expert,precedence_value_27,0.509,0.41,0.692,hasCalculations_value_214,hasSuggestedTags_value_848,has_Answers_value_998,has_Epoch_value_310,has_Knowledge_value_774,has_token_value_751,superKC_value_284,OptionAnswer_value_359,Needs more examples,context_value_597,corrected_value_451,currentOperation_value_969,pending,116,enabled_value_911,2023-01-18,Sign error,exercise_value_584,Sample hint text #916,item_value_670,easy,xp_earned,methodStep_value_206,methodname_66,multipleChoiceAnswer_value_737,numberOfFavorites_value_330,numberOfViews_value_399,20,2023-09-02,2023-03-18,Sample question text #311,resolution_value_286,size_value_2,2023-03-15,stepName_67,7,Literature,2023-12-05,statistics,Introduction to Algebra,Sample tokenized_statement text #566,typeC,,,engagementLoop_0010|engagementLoop_0010,,tactic_0019,tactic_0004|tactic_0017,strategy_0010|strategy_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactic_0020,competitive,amygdala,serotonin,Computer Science,spaced_repetition,16.67,quiz,summative,2.11,desiredPoints_value_553,Algebra,completion_rate,medium,Causal reversal,hasPG_value_530,hasPS_value_151,hasPT_value_12,typeC,cluster_1,easy,precedence_value_699,0.636,0.594,0.536,hasCalculations_value_432,hasSuggestedTags_value_654,has_Answers_value_494,has_Epoch_value_749,has_Knowledge_value_812,has_token_value_566,superKC_value_143,OptionAnswer_value_641,Too abstract,context_value_433,corrected_value_322,currentOperation_value_647,pending,30,enabled_value_5,2023-10-05,Sign error,exercise_value_186,Sample hint text #976,item_value_175,easy,completion_rate,methodStep_value_527,methodname_71,multipleChoiceAnswer_value_106,numberOfFavorites_value_409,numberOfViews_value_639,1,2023-04-26,2023-06-27,Sample question text #550,resolution_value_839,size_value_223,2023-03-23,stepName_20,8,Chemistry,2023-08-05,biology,Introduction to Philosophy,Sample tokenized_statement text #266,typeA,,,engagementLoop_0003|engagementLoop_0003,,tactic_0014,tactic_0016,strategy_0006|strategy_0017|strategy_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
