# CLASS: Metric
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#Metric
# COLUMNS:
#   id: id — Unique identifier, e.g. metric_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   metricDescription: data — str
#   metricExpectedValue: data — float
#   metricValue: data — float
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_isUsedFor: object — Ref to ['Target_Behavior', 'Target_Behavior']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,metricDescription,metricExpectedValue,metricValue,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_isUsedFor,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
metric_0011,exploratory,cerebellum,dopamine,History,hint_usage,70.86,44.65,42.96,91.18,desiredPoints_value_635,Literature,correct_answers,expert,Causal reversal,hasPG_value_386,hasPS_value_816,hasPT_value_10,typeA,cluster_3,easy,precedence_value_734,0.27,0.272,0.001,hasCalculations_value_84,hasSuggestedTags_value_2,has_Answers_value_190,has_Epoch_value_402,has_Knowledge_value_670,has_token_value_381,superKC_value_351,OptionAnswer_value_465,Very clear,context_value_712,corrected_value_312,currentOperation_value_473,pending,58,enabled_value_865,2023-11-28,Formula inversion,exercise_value_372,Sample hint text #764,item_value_469,medium,xp_earned,methodStep_value_143,methodname_76,multipleChoiceAnswer_value_659,numberOfFavorites_value_489,numberOfViews_value_492,10,2023-02-25,2023-01-11,Sample question text #3,resolution_value_444,size_value_533,2023-06-20,stepName_03,5,Biology,2023-04-02,philosophy,Introduction to Philosophy,Sample tokenized_statement text #913,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0012,survivor,striatum,dopamine,Calculus,engagement_score,56.02,39.19,95.08,33.44,desiredPoints_value_871,Calculus,engagement_score,medium,Off-by-one error,hasPG_value_330,hasPS_value_209,hasPT_value_795,typeB,cluster_2,easy,precedence_value_974,0.491,0.528,0.635,hasCalculations_value_853,hasSuggestedTags_value_428,has_Answers_value_153,has_Epoch_value_593,has_Knowledge_value_208,has_token_value_64,superKC_value_957,OptionAnswer_value_590,Could be improved,context_value_387,corrected_value_115,currentOperation_value_361,active,66,enabled_value_115,2023-01-14,Formula inversion,exercise_value_125,Sample hint text #407,item_value_619,easy,time_on_task,methodStep_value_444,methodname_59,multipleChoiceAnswer_value_60,numberOfFavorites_value_340,numberOfViews_value_591,2,2023-05-04,2023-02-15,Sample question text #673,resolution_value_861,size_value_588,2023-11-28,stepName_88,16,Computer Science,2023-10-14,statistics,Introduction to Literature,Sample tokenized_statement text #107,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0013,competitive,cerebellum,oxytocin,Literature,xp_earned,40.77,44.87,61.59,82.74,desiredPoints_value_884,Chemistry,completion_rate,medium,Off-by-one error,hasPG_value_526,hasPS_value_686,hasPT_value_769,typeB,cluster_5,hard,precedence_value_730,0.469,0.85,0.539,hasCalculations_value_929,hasSuggestedTags_value_517,has_Answers_value_157,has_Epoch_value_263,has_Knowledge_value_797,has_token_value_222,superKC_value_467,OptionAnswer_value_357,Challenging but rewarding,context_value_413,corrected_value_544,currentOperation_value_759,paused,73,enabled_value_704,2023-07-06,Formula inversion,exercise_value_260,Sample hint text #943,item_value_515,medium,xp_earned,methodStep_value_240,methodname_02,multipleChoiceAnswer_value_894,numberOfFavorites_value_799,numberOfViews_value_968,2,2023-10-23,2023-08-03,Sample question text #921,resolution_value_333,size_value_264,2023-08-27,stepName_43,19,Geography,2023-01-04,algebra,Introduction to Literature,Sample tokenized_statement text #873,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0014,survivor,hippocampus,dopamine,Calculus,mastery_level,71.6,70.0,52.19,6.61,desiredPoints_value_19,Economics,completion_rate,medium,Unit confusion,hasPG_value_771,hasPS_value_853,hasPT_value_416,typeB,cluster_5,easy,precedence_value_657,0.24,0.08,0.792,hasCalculations_value_58,hasSuggestedTags_value_582,has_Answers_value_286,has_Epoch_value_687,has_Knowledge_value_656,has_token_value_172,superKC_value_680,OptionAnswer_value_830,Needs more examples,context_value_677,corrected_value_109,currentOperation_value_383,paused,86,enabled_value_242,2023-08-18,Off-by-one error,exercise_value_816,Sample hint text #229,item_value_121,easy,attempt_count,methodStep_value_109,methodname_66,multipleChoiceAnswer_value_745,numberOfFavorites_value_77,numberOfViews_value_727,8,2023-07-26,2023-10-26,Sample question text #24,resolution_value_27,size_value_283,2023-08-20,stepName_07,10,Literature,2023-12-10,history,Advanced Geography,Sample tokenized_statement text #269,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0015,competitive,amygdala,dopamine,Philosophy,streak_count,61.8,51.86,49.45,56.46,desiredPoints_value_96,Calculus,xp_earned,easy,Concept conflation,hasPG_value_703,hasPS_value_165,hasPT_value_445,typeC,cluster_5,easy,precedence_value_22,0.624,0.844,0.426,hasCalculations_value_695,hasSuggestedTags_value_52,has_Answers_value_656,has_Epoch_value_433,has_Knowledge_value_847,has_token_value_945,superKC_value_536,OptionAnswer_value_75,Too abstract,context_value_316,corrected_value_881,currentOperation_value_83,paused,119,enabled_value_655,2023-07-28,Causal reversal,exercise_value_399,Sample hint text #99,item_value_106,expert,engagement_score,methodStep_value_702,methodname_20,multipleChoiceAnswer_value_856,numberOfFavorites_value_624,numberOfViews_value_285,6,2023-01-14,2023-08-02,Sample question text #571,resolution_value_993,size_value_31,2023-06-24,stepName_67,12,Economics,2023-03-09,statistics,Introduction to Mathematics,Sample tokenized_statement text #262,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0016,achiever,amygdala,acetylcholine,Chemistry,time_on_task,23.23,19.85,5.87,8.35,desiredPoints_value_67,Data Science,mastery_level,expert,Off-by-one error,hasPG_value_459,hasPS_value_356,hasPT_value_604,typeC,cluster_5,expert,precedence_value_183,0.773,0.686,0.611,hasCalculations_value_649,hasSuggestedTags_value_953,has_Answers_value_480,has_Epoch_value_430,has_Knowledge_value_271,has_token_value_661,superKC_value_983,OptionAnswer_value_103,Challenging but rewarding,context_value_277,corrected_value_604,currentOperation_value_989,pending,115,enabled_value_519,2023-04-06,Unit confusion,exercise_value_78,Sample hint text #614,item_value_587,easy,score,methodStep_value_11,methodname_18,multipleChoiceAnswer_value_882,numberOfFavorites_value_882,numberOfViews_value_830,13,2023-04-07,2023-05-20,Sample question text #856,resolution_value_138,size_value_149,2023-08-25,stepName_63,16,Mathematics,2023-09-11,philosophy,Introduction to Philosophy,Sample tokenized_statement text #871,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0017,achiever,amygdala,norepinephrine,History,correct_answers,48.6,43.9,78.78,9.14,desiredPoints_value_536,Statistics,error_rate,easy,Off-by-one error,hasPG_value_321,hasPS_value_664,hasPT_value_879,typeB,cluster_4,expert,precedence_value_617,0.276,0.1,0.966,hasCalculations_value_891,hasSuggestedTags_value_998,has_Answers_value_106,has_Epoch_value_216,has_Knowledge_value_638,has_token_value_559,superKC_value_782,OptionAnswer_value_915,Too abstract,context_value_378,corrected_value_826,currentOperation_value_255,completed,120,enabled_value_958,2023-04-16,Unit confusion,exercise_value_15,Sample hint text #517,item_value_777,medium,progress_ratio,methodStep_value_507,methodname_32,multipleChoiceAnswer_value_121,numberOfFavorites_value_474,numberOfViews_value_328,6,2023-06-05,2023-11-23,Sample question text #226,resolution_value_151,size_value_286,2023-04-09,stepName_90,5,Physics,2023-12-07,philosophy,Introduction to Data Science,Sample tokenized_statement text #817,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0018,exploratory,striatum,serotonin,Economics,attempt_count,87.76,104.92,37.38,1.23,desiredPoints_value_727,History,xp_earned,hard,Unit confusion,hasPG_value_738,hasPS_value_536,hasPT_value_46,typeB,cluster_5,medium,precedence_value_628,0.892,0.042,0.858,hasCalculations_value_555,hasSuggestedTags_value_164,has_Answers_value_532,has_Epoch_value_389,has_Knowledge_value_192,has_token_value_375,superKC_value_753,OptionAnswer_value_356,Challenging but rewarding,context_value_452,corrected_value_767,currentOperation_value_185,completed,116,enabled_value_751,2023-12-15,Off-by-one error,exercise_value_785,Sample hint text #439,item_value_898,medium,streak_count,methodStep_value_656,methodname_47,multipleChoiceAnswer_value_890,numberOfFavorites_value_519,numberOfViews_value_975,15,2023-12-07,2023-07-01,Sample question text #537,resolution_value_62,size_value_377,2023-06-18,stepName_18,5,Literature,2023-03-25,biology,Critical Thinking,Sample tokenized_statement text #681,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0019,competitive,hippocampus,dopamine,Geography,score,31.59,22.17,44.92,2.45,desiredPoints_value_795,Biology,hint_usage,easy,Unit confusion,hasPG_value_960,hasPS_value_966,hasPT_value_455,typeB,cluster_3,expert,precedence_value_872,0.698,0.509,0.676,hasCalculations_value_217,hasSuggestedTags_value_754,has_Answers_value_500,has_Epoch_value_92,has_Knowledge_value_243,has_token_value_451,superKC_value_605,OptionAnswer_value_602,Challenging but rewarding,context_value_484,corrected_value_9,currentOperation_value_538,active,115,enabled_value_829,2023-12-28,Unit confusion,exercise_value_255,Sample hint text #519,item_value_189,easy,completion_rate,methodStep_value_722,methodname_20,multipleChoiceAnswer_value_671,numberOfFavorites_value_802,numberOfViews_value_796,8,2023-11-28,2023-10-13,Sample question text #821,resolution_value_848,size_value_339,2023-08-23,stepName_96,12,Calculus,2023-04-25,statistics,Advanced Physics,Sample tokenized_statement text #812,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0020,cooperative,amygdala,acetylcholine,Chemistry,streak_count,29.64,28.33,87.68,20.55,desiredPoints_value_288,Algebra,correct_answers,hard,Causal reversal,hasPG_value_276,hasPS_value_820,hasPT_value_135,typeC,cluster_5,expert,precedence_value_125,0.21,0.057,0.075,hasCalculations_value_695,hasSuggestedTags_value_904,has_Answers_value_966,has_Epoch_value_386,has_Knowledge_value_46,has_token_value_938,superKC_value_747,OptionAnswer_value_443,Challenging but rewarding,context_value_607,corrected_value_817,currentOperation_value_668,completed,82,enabled_value_614,2023-05-11,Off-by-one error,exercise_value_38,Sample hint text #974,item_value_394,medium,mastery_level,methodStep_value_738,methodname_20,multipleChoiceAnswer_value_632,numberOfFavorites_value_145,numberOfViews_value_73,13,2023-03-19,2023-09-24,Sample question text #387,resolution_value_16,size_value_314,2023-12-06,stepName_63,17,Geography,2023-12-16,algebra,Introduction to Biology,Sample tokenized_statement text #769,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0021,competitive,amygdala,acetylcholine,Philosophy,xp_earned,23.9,26.32,41.52,17.62,desiredPoints_value_642,Mathematics,streak_count,expert,Concept conflation,hasPG_value_308,hasPS_value_76,hasPT_value_144,typeA,cluster_3,medium,precedence_value_561,0.529,0.614,0.675,hasCalculations_value_843,hasSuggestedTags_value_2,has_Answers_value_694,has_Epoch_value_990,has_Knowledge_value_966,has_token_value_562,superKC_value_911,OptionAnswer_value_527,Challenging but rewarding,context_value_959,corrected_value_393,currentOperation_value_781,active,72,enabled_value_71,2023-02-01,Formula inversion,exercise_value_102,Sample hint text #290,item_value_611,medium,time_on_task,methodStep_value_721,methodname_52,multipleChoiceAnswer_value_27,numberOfFavorites_value_251,numberOfViews_value_799,14,2023-09-01,2023-09-21,Sample question text #342,resolution_value_572,size_value_679,2023-09-10,stepName_34,9,Biology,2023-08-05,algebra,Introduction to Biology,Sample tokenized_statement text #861,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0022,survivor,striatum,acetylcholine,Calculus,engagement_score,15.77,13.71,95.28,77.58,desiredPoints_value_75,Data Science,progress_ratio,easy,Causal reversal,hasPG_value_945,hasPS_value_517,hasPT_value_57,typeB,cluster_2,hard,precedence_value_716,0.241,0.771,0.983,hasCalculations_value_584,hasSuggestedTags_value_992,has_Answers_value_500,has_Epoch_value_338,has_Knowledge_value_982,has_token_value_790,superKC_value_385,OptionAnswer_value_525,Could be improved,context_value_806,corrected_value_268,currentOperation_value_181,active,76,enabled_value_125,2023-09-25,Off-by-one error,exercise_value_68,Sample hint text #831,item_value_539,expert,hint_usage,methodStep_value_474,methodname_22,multipleChoiceAnswer_value_613,numberOfFavorites_value_94,numberOfViews_value_731,8,2023-02-04,2023-03-13,Sample question text #366,resolution_value_634,size_value_709,2023-08-10,stepName_50,1,Biology,2023-01-05,statistics,Introduction to Literature,Sample tokenized_statement text #110,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0023,competitive,amygdala,serotonin,Data Science,hint_usage,34.94,19.3,31.47,54.44,desiredPoints_value_95,Calculus,score,hard,Concept conflation,hasPG_value_832,hasPS_value_171,hasPT_value_25,typeB,cluster_2,easy,precedence_value_878,0.262,0.381,0.13,hasCalculations_value_465,hasSuggestedTags_value_172,has_Answers_value_898,has_Epoch_value_406,has_Knowledge_value_92,has_token_value_567,superKC_value_910,OptionAnswer_value_581,Good explanation,context_value_10,corrected_value_589,currentOperation_value_353,completed,17,enabled_value_957,2023-01-01,Off-by-one error,exercise_value_471,Sample hint text #617,item_value_675,medium,attempt_count,methodStep_value_66,methodname_29,multipleChoiceAnswer_value_407,numberOfFavorites_value_889,numberOfViews_value_653,6,2023-03-07,2023-09-21,Sample question text #19,resolution_value_77,size_value_221,2023-11-15,stepName_05,6,Mathematics,2023-10-21,economics,Introduction to Chemistry,Sample tokenized_statement text #853,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0024,social,cerebellum,acetylcholine,Physics,hint_usage,33.47,16.74,93.57,49.53,desiredPoints_value_916,Computer Science,completion_rate,easy,Causal reversal,hasPG_value_761,hasPS_value_290,hasPT_value_374,typeA,cluster_5,easy,precedence_value_445,0.736,0.896,0.69,hasCalculations_value_909,hasSuggestedTags_value_907,has_Answers_value_360,has_Epoch_value_235,has_Knowledge_value_247,has_token_value_984,superKC_value_212,OptionAnswer_value_372,Good explanation,context_value_115,corrected_value_978,currentOperation_value_412,completed,58,enabled_value_136,2023-06-03,Off-by-one error,exercise_value_320,Sample hint text #864,item_value_854,hard,correct_answers,methodStep_value_961,methodname_16,multipleChoiceAnswer_value_497,numberOfFavorites_value_251,numberOfViews_value_37,12,2023-11-03,2023-12-11,Sample question text #103,resolution_value_212,size_value_227,2023-11-05,stepName_04,19,Literature,2023-08-07,mathematics,Advanced History,Sample tokenized_statement text #855,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0025,competitive,prefrontal,norepinephrine,Philosophy,progress_ratio,50.16,51.86,23.89,56.35,desiredPoints_value_228,Algebra,correct_answers,medium,Causal reversal,hasPG_value_530,hasPS_value_979,hasPT_value_976,typeB,cluster_4,hard,precedence_value_206,0.221,0.101,0.32,hasCalculations_value_517,hasSuggestedTags_value_20,has_Answers_value_720,has_Epoch_value_12,has_Knowledge_value_29,has_token_value_815,superKC_value_566,OptionAnswer_value_306,Good explanation,context_value_402,corrected_value_146,currentOperation_value_699,paused,67,enabled_value_370,2023-01-03,Causal reversal,exercise_value_318,Sample hint text #441,item_value_532,medium,streak_count,methodStep_value_125,methodname_35,multipleChoiceAnswer_value_401,numberOfFavorites_value_372,numberOfViews_value_6,1,2023-04-19,2023-05-25,Sample question text #649,resolution_value_926,size_value_380,2023-06-17,stepName_92,10,Literature,2023-12-10,statistics,Introduction to Geography,Sample tokenized_statement text #61,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0026,competitive,prefrontal,serotonin,Chemistry,correct_answers,81.18,87.66,10.52,52.23,desiredPoints_value_954,Philosophy,error_rate,expert,Causal reversal,hasPG_value_17,hasPS_value_864,hasPT_value_609,typeA,cluster_4,hard,precedence_value_34,0.456,0.344,0.919,hasCalculations_value_761,hasSuggestedTags_value_593,has_Answers_value_948,has_Epoch_value_166,has_Knowledge_value_400,has_token_value_835,superKC_value_926,OptionAnswer_value_473,Very clear,context_value_650,corrected_value_363,currentOperation_value_822,active,40,enabled_value_411,2023-02-13,Causal reversal,exercise_value_164,Sample hint text #678,item_value_149,hard,time_on_task,methodStep_value_751,methodname_78,multipleChoiceAnswer_value_691,numberOfFavorites_value_442,numberOfViews_value_355,14,2023-09-24,2023-11-18,Sample question text #852,resolution_value_777,size_value_655,2023-08-26,stepName_22,1,Chemistry,2023-01-09,calculus,Advanced Biology,Sample tokenized_statement text #498,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0027,survivor,amygdala,serotonin,History,hint_usage,31.13,24.95,25.25,78.52,desiredPoints_value_740,Data Science,xp_earned,expert,Off-by-one error,hasPG_value_703,hasPS_value_929,hasPT_value_597,typeB,cluster_3,hard,precedence_value_224,0.064,0.297,0.58,hasCalculations_value_364,hasSuggestedTags_value_16,has_Answers_value_981,has_Epoch_value_574,has_Knowledge_value_985,has_token_value_53,superKC_value_51,OptionAnswer_value_149,Could be improved,context_value_633,corrected_value_920,currentOperation_value_19,paused,97,enabled_value_597,2023-06-10,Formula inversion,exercise_value_201,Sample hint text #998,item_value_323,expert,hint_usage,methodStep_value_139,methodname_58,multipleChoiceAnswer_value_705,numberOfFavorites_value_143,numberOfViews_value_608,9,2023-04-14,2023-11-03,Sample question text #39,resolution_value_977,size_value_803,2023-10-01,stepName_73,17,Chemistry,2023-05-11,mathematics,Advanced Literature,Sample tokenized_statement text #535,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0028,social,hippocampus,serotonin,Calculus,error_rate,86.18,51.33,11.23,5.92,desiredPoints_value_439,Mathematics,completion_rate,medium,Unit confusion,hasPG_value_174,hasPS_value_344,hasPT_value_331,typeA,cluster_1,medium,precedence_value_261,0.743,0.45,0.186,hasCalculations_value_192,hasSuggestedTags_value_560,has_Answers_value_29,has_Epoch_value_930,has_Knowledge_value_590,has_token_value_355,superKC_value_307,OptionAnswer_value_949,Good explanation,context_value_504,corrected_value_379,currentOperation_value_273,active,17,enabled_value_398,2023-04-15,Concept conflation,exercise_value_38,Sample hint text #360,item_value_790,hard,mastery_level,methodStep_value_169,methodname_71,multipleChoiceAnswer_value_117,numberOfFavorites_value_457,numberOfViews_value_193,20,2023-04-07,2023-10-24,Sample question text #416,resolution_value_634,size_value_646,2023-02-01,stepName_98,18,Chemistry,2023-10-14,statistics,Research Methods,Sample tokenized_statement text #363,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0029,social,amygdala,acetylcholine,History,mastery_level,36.99,33.11,47.95,25.97,desiredPoints_value_569,Calculus,attempt_count,expert,Sign error,hasPG_value_339,hasPS_value_921,hasPT_value_49,typeC,cluster_3,hard,precedence_value_60,0.745,0.078,0.867,hasCalculations_value_907,hasSuggestedTags_value_966,has_Answers_value_314,has_Epoch_value_254,has_Knowledge_value_814,has_token_value_849,superKC_value_989,OptionAnswer_value_588,Challenging but rewarding,context_value_579,corrected_value_159,currentOperation_value_365,paused,117,enabled_value_16,2023-10-19,Sign error,exercise_value_527,Sample hint text #443,item_value_123,easy,completion_rate,methodStep_value_534,methodname_45,multipleChoiceAnswer_value_644,numberOfFavorites_value_343,numberOfViews_value_784,4,2023-05-08,2023-09-22,Sample question text #879,resolution_value_157,size_value_331,2023-11-11,stepName_19,1,Biology,2023-03-22,calculus,Project Management,Sample tokenized_statement text #555,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0030,competitive,cerebellum,oxytocin,Mathematics,hint_usage,47.67,42.26,80.93,77.14,desiredPoints_value_903,Mathematics,attempt_count,medium,Off-by-one error,hasPG_value_995,hasPS_value_444,hasPT_value_501,typeA,cluster_1,medium,precedence_value_832,0.053,0.562,0.527,hasCalculations_value_20,hasSuggestedTags_value_108,has_Answers_value_756,has_Epoch_value_442,has_Knowledge_value_653,has_token_value_487,superKC_value_476,OptionAnswer_value_811,Very clear,context_value_607,corrected_value_146,currentOperation_value_713,active,79,enabled_value_886,2023-11-04,Causal reversal,exercise_value_18,Sample hint text #337,item_value_14,expert,score,methodStep_value_593,methodname_59,multipleChoiceAnswer_value_36,numberOfFavorites_value_617,numberOfViews_value_363,16,2023-05-25,2023-05-12,Sample question text #959,resolution_value_724,size_value_285,2023-01-28,stepName_56,19,Physics,2023-05-08,economics,Advanced Mathematics,Sample tokenized_statement text #818,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
