# CLASS: ProblemNext
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ProblemNext
# COLUMNS:
#   id: id — Unique identifier, e.g. problemNext_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   score_Max: data — float
#   score_Min: data — float
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,score_Max,score_Min,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
problemNext_0011,exploratory,amygdala,dopamine,Chemistry,0.913,0.306,46.68,18.62,desiredPoints_value_23,Computer Science,progress_ratio,expert,Concept conflation,hasPG_value_590,hasPS_value_712,hasPT_value_446,typeC,cluster_4,expert,precedence_value_855,0.244,0.723,0.601,hasCalculations_value_495,hasSuggestedTags_value_695,has_Answers_value_411,has_Epoch_value_308,has_Knowledge_value_42,has_token_value_995,superKC_value_952,OptionAnswer_value_899,Needs more examples,context_value_782,corrected_value_958,currentOperation_value_923,active,58,enabled_value_437,2023-05-19,Formula inversion,exercise_value_608,Sample hint text #30,item_value_168,medium,hint_usage,methodStep_value_908,methodname_77,multipleChoiceAnswer_value_989,numberOfFavorites_value_715,numberOfViews_value_966,17,2023-04-19,2023-03-05,Sample question text #680,resolution_value_342,size_value_808,2023-01-03,stepName_40,5,Algebra,2023-06-15,literature,Introduction to Geography,Sample tokenized_statement text #472,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0012,survivor,prefrontal,serotonin,Chemistry,0.301,0.08,23.62,20.33,desiredPoints_value_93,Data Science,time_on_task,medium,Causal reversal,hasPG_value_569,hasPS_value_866,hasPT_value_795,typeB,cluster_1,expert,precedence_value_164,0.345,0.471,0.687,hasCalculations_value_716,hasSuggestedTags_value_218,has_Answers_value_935,has_Epoch_value_484,has_Knowledge_value_685,has_token_value_386,superKC_value_852,OptionAnswer_value_475,Could be improved,context_value_249,corrected_value_782,currentOperation_value_939,active,54,enabled_value_132,2023-06-25,Sign error,exercise_value_410,Sample hint text #792,item_value_335,hard,streak_count,methodStep_value_748,methodname_55,multipleChoiceAnswer_value_612,numberOfFavorites_value_404,numberOfViews_value_547,3,2023-06-16,2023-11-24,Sample question text #994,resolution_value_601,size_value_28,2023-04-20,stepName_23,8,Geography,2023-06-11,economics,Introduction to Mathematics,Sample tokenized_statement text #626,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0013,social,hippocampus,serotonin,Chemistry,0.5,0.044,30.19,9.29,desiredPoints_value_394,Statistics,completion_rate,expert,Sign error,hasPG_value_292,hasPS_value_319,hasPT_value_397,typeC,cluster_4,easy,precedence_value_268,0.959,0.422,0.164,hasCalculations_value_699,hasSuggestedTags_value_530,has_Answers_value_855,has_Epoch_value_109,has_Knowledge_value_477,has_token_value_826,superKC_value_85,OptionAnswer_value_355,Could be improved,context_value_751,corrected_value_104,currentOperation_value_672,paused,107,enabled_value_827,2023-01-06,Unit confusion,exercise_value_132,Sample hint text #589,item_value_520,expert,streak_count,methodStep_value_466,methodname_02,multipleChoiceAnswer_value_498,numberOfFavorites_value_670,numberOfViews_value_983,13,2023-07-25,2023-01-10,Sample question text #436,resolution_value_265,size_value_760,2023-11-04,stepName_78,15,Economics,2023-06-25,computer_science,Critical Thinking,Sample tokenized_statement text #344,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0014,exploratory,hippocampus,serotonin,Literature,0.532,0.383,67.47,15.04,desiredPoints_value_346,Data Science,progress_ratio,hard,Sign error,hasPG_value_528,hasPS_value_833,hasPT_value_630,typeC,cluster_4,expert,precedence_value_50,0.465,0.04,0.868,hasCalculations_value_472,hasSuggestedTags_value_376,has_Answers_value_52,has_Epoch_value_911,has_Knowledge_value_614,has_token_value_703,superKC_value_379,OptionAnswer_value_259,Very clear,context_value_346,corrected_value_692,currentOperation_value_304,active,74,enabled_value_274,2023-03-10,Unit confusion,exercise_value_428,Sample hint text #18,item_value_458,hard,hint_usage,methodStep_value_652,methodname_05,multipleChoiceAnswer_value_611,numberOfFavorites_value_115,numberOfViews_value_366,2,2023-09-24,2023-07-08,Sample question text #180,resolution_value_87,size_value_548,2023-02-05,stepName_94,5,Statistics,2023-08-14,history,Introduction to Data Science,Sample tokenized_statement text #996,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0015,survivor,cerebellum,serotonin,Calculus,0.904,0.932,82.05,56.91,desiredPoints_value_42,Physics,attempt_count,hard,Off-by-one error,hasPG_value_151,hasPS_value_624,hasPT_value_742,typeC,cluster_1,expert,precedence_value_525,0.98,0.079,0.927,hasCalculations_value_768,hasSuggestedTags_value_310,has_Answers_value_433,has_Epoch_value_411,has_Knowledge_value_23,has_token_value_189,superKC_value_974,OptionAnswer_value_765,Too abstract,context_value_739,corrected_value_669,currentOperation_value_761,active,112,enabled_value_935,2023-07-04,Sign error,exercise_value_585,Sample hint text #268,item_value_311,medium,xp_earned,methodStep_value_819,methodname_07,multipleChoiceAnswer_value_384,numberOfFavorites_value_588,numberOfViews_value_485,7,2023-07-09,2023-12-23,Sample question text #797,resolution_value_191,size_value_284,2023-09-22,stepName_06,20,Literature,2023-03-22,history,Introduction to Economics,Sample tokenized_statement text #6,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0016,cooperative,hippocampus,acetylcholine,Statistics,0.13,0.267,59.91,97.59,desiredPoints_value_326,Physics,time_on_task,medium,Off-by-one error,hasPG_value_727,hasPS_value_333,hasPT_value_227,typeA,cluster_5,hard,precedence_value_746,0.712,0.827,0.588,hasCalculations_value_651,hasSuggestedTags_value_610,has_Answers_value_337,has_Epoch_value_555,has_Knowledge_value_399,has_token_value_488,superKC_value_953,OptionAnswer_value_572,Good explanation,context_value_352,corrected_value_349,currentOperation_value_328,pending,110,enabled_value_456,2023-03-15,Causal reversal,exercise_value_511,Sample hint text #216,item_value_546,medium,streak_count,methodStep_value_400,methodname_33,multipleChoiceAnswer_value_413,numberOfFavorites_value_34,numberOfViews_value_677,19,2023-02-21,2023-08-18,Sample question text #354,resolution_value_86,size_value_213,2023-12-17,stepName_48,10,History,2023-06-15,statistics,Advanced Mathematics,Sample tokenized_statement text #31,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0017,achiever,cerebellum,serotonin,Philosophy,0.352,0.432,99.58,2.34,desiredPoints_value_997,History,mastery_level,expert,Sign error,hasPG_value_385,hasPS_value_944,hasPT_value_551,typeA,cluster_4,easy,precedence_value_100,0.396,0.211,0.111,hasCalculations_value_297,hasSuggestedTags_value_183,has_Answers_value_886,has_Epoch_value_163,has_Knowledge_value_786,has_token_value_797,superKC_value_753,OptionAnswer_value_411,Challenging but rewarding,context_value_419,corrected_value_361,currentOperation_value_770,completed,58,enabled_value_923,2023-10-09,Unit confusion,exercise_value_789,Sample hint text #372,item_value_646,easy,streak_count,methodStep_value_906,methodname_88,multipleChoiceAnswer_value_984,numberOfFavorites_value_649,numberOfViews_value_781,11,2023-09-18,2023-09-13,Sample question text #231,resolution_value_880,size_value_414,2023-08-25,stepName_60,10,Calculus,2023-08-06,calculus,Introduction to Geography,Sample tokenized_statement text #410,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0018,competitive,cerebellum,norepinephrine,Algebra,0.464,0.172,90.73,38.34,desiredPoints_value_669,Literature,correct_answers,expert,Sign error,hasPG_value_652,hasPS_value_30,hasPT_value_634,typeA,cluster_2,easy,precedence_value_614,0.571,0.409,0.023,hasCalculations_value_625,hasSuggestedTags_value_256,has_Answers_value_171,has_Epoch_value_583,has_Knowledge_value_641,has_token_value_484,superKC_value_701,OptionAnswer_value_94,Too abstract,context_value_24,corrected_value_761,currentOperation_value_616,paused,75,enabled_value_524,2023-04-28,Sign error,exercise_value_469,Sample hint text #378,item_value_741,medium,completion_rate,methodStep_value_484,methodname_92,multipleChoiceAnswer_value_944,numberOfFavorites_value_205,numberOfViews_value_331,5,2023-05-03,2023-01-07,Sample question text #592,resolution_value_473,size_value_471,2023-04-22,stepName_78,15,Biology,2023-03-15,economics,Advanced Literature,Sample tokenized_statement text #114,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0019,exploratory,prefrontal,serotonin,Computer Science,0.722,0.07,74.86,68.2,desiredPoints_value_417,Calculus,mastery_level,expert,Formula inversion,hasPG_value_73,hasPS_value_802,hasPT_value_428,typeB,cluster_5,easy,precedence_value_733,0.777,0.647,0.534,hasCalculations_value_25,hasSuggestedTags_value_450,has_Answers_value_493,has_Epoch_value_848,has_Knowledge_value_744,has_token_value_62,superKC_value_300,OptionAnswer_value_832,Very clear,context_value_849,corrected_value_843,currentOperation_value_743,active,51,enabled_value_410,2023-12-17,Causal reversal,exercise_value_666,Sample hint text #451,item_value_439,easy,score,methodStep_value_150,methodname_34,multipleChoiceAnswer_value_777,numberOfFavorites_value_846,numberOfViews_value_594,4,2023-12-06,2023-06-14,Sample question text #673,resolution_value_348,size_value_146,2023-04-26,stepName_62,7,History,2023-02-11,statistics,Critical Thinking,Sample tokenized_statement text #76,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0020,survivor,striatum,serotonin,Algebra,0.26,0.295,44.47,78.74,desiredPoints_value_717,History,progress_ratio,hard,Concept conflation,hasPG_value_37,hasPS_value_780,hasPT_value_144,typeA,cluster_5,hard,precedence_value_27,0.221,0.371,0.363,hasCalculations_value_299,hasSuggestedTags_value_315,has_Answers_value_968,has_Epoch_value_734,has_Knowledge_value_163,has_token_value_582,superKC_value_650,OptionAnswer_value_313,Very clear,context_value_731,corrected_value_451,currentOperation_value_690,pending,24,enabled_value_762,2023-12-05,Sign error,exercise_value_623,Sample hint text #300,item_value_880,expert,hint_usage,methodStep_value_653,methodname_30,multipleChoiceAnswer_value_29,numberOfFavorites_value_872,numberOfViews_value_217,19,2023-05-05,2023-10-01,Sample question text #266,resolution_value_373,size_value_739,2023-09-24,stepName_67,13,Computer Science,2023-10-06,geography,Advanced Literature,Sample tokenized_statement text #160,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
