# CLASS: StudentModel
# IRI: http://surveys.nees.com.br/ontologies/gato.owl#StudentModel
# COLUMNS:
#   id: id — Unique identifier, e.g. studentModel_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_hasBehaviouralKnowledge: object — Ref to ['BehaviouralKnowledge']
#   REF_includes: object — Ref to ['Player']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_hasBehaviouralKnowledge,REF_includes,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
studentModel_0011,exploratory,prefrontal,dopamine,Computer Science,1.67,89.2,desiredPoints_value_818,Physics,progress_ratio,easy,Unit confusion,hasPG_value_723,hasPS_value_540,hasPT_value_713,typeB,cluster_5,expert,precedence_value_967,0.023,0.359,0.516,hasCalculations_value_784,hasSuggestedTags_value_653,has_Answers_value_821,has_Epoch_value_232,has_Knowledge_value_934,has_token_value_985,superKC_value_245,OptionAnswer_value_953,Too abstract,context_value_829,corrected_value_327,currentOperation_value_73,completed,82,enabled_value_541,2023-03-20,Causal reversal,exercise_value_762,Sample hint text #258,item_value_356,hard,score,methodStep_value_521,methodname_27,multipleChoiceAnswer_value_205,numberOfFavorites_value_798,numberOfViews_value_509,18,2023-09-04,2023-05-21,Sample question text #504,resolution_value_771,size_value_928,2023-12-10,stepName_19,12,Mathematics,2023-08-26,history,Introduction to Computer Science,Sample tokenized_statement text #539,typeA,,,behaviouralKnowledge_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0012,achiever,amygdala,dopamine,Statistics,71.1,5.55,desiredPoints_value_521,Literature,engagement_score,expert,Unit confusion,hasPG_value_343,hasPS_value_1,hasPT_value_36,typeB,cluster_2,hard,precedence_value_496,0.795,0.85,0.632,hasCalculations_value_839,hasSuggestedTags_value_393,has_Answers_value_731,has_Epoch_value_62,has_Knowledge_value_668,has_token_value_226,superKC_value_402,OptionAnswer_value_880,Very clear,context_value_214,corrected_value_223,currentOperation_value_399,active,39,enabled_value_186,2023-05-16,Unit confusion,exercise_value_87,Sample hint text #365,item_value_783,easy,correct_answers,methodStep_value_753,methodname_29,multipleChoiceAnswer_value_154,numberOfFavorites_value_631,numberOfViews_value_324,14,2023-07-23,2023-02-21,Sample question text #282,resolution_value_521,size_value_903,2023-12-06,stepName_90,9,Statistics,2023-04-14,history,Advanced Biology,Sample tokenized_statement text #351,typeA,,,behaviouralKnowledge_0017|behaviouralKnowledge_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0013,survivor,striatum,norepinephrine,Data Science,49.55,20.3,desiredPoints_value_781,Literature,score,hard,Formula inversion,hasPG_value_31,hasPS_value_82,hasPT_value_505,typeC,cluster_3,easy,precedence_value_610,0.378,0.026,0.726,hasCalculations_value_63,hasSuggestedTags_value_846,has_Answers_value_746,has_Epoch_value_603,has_Knowledge_value_159,has_token_value_336,superKC_value_423,OptionAnswer_value_693,Challenging but rewarding,context_value_810,corrected_value_208,currentOperation_value_927,pending,81,enabled_value_671,2023-07-27,Sign error,exercise_value_457,Sample hint text #533,item_value_256,expert,engagement_score,methodStep_value_491,methodname_49,multipleChoiceAnswer_value_337,numberOfFavorites_value_267,numberOfViews_value_1,5,2023-04-10,2023-08-25,Sample question text #125,resolution_value_290,size_value_353,2023-02-07,stepName_58,9,Statistics,2023-01-25,chemistry,Advanced Biology,Sample tokenized_statement text #664,typeA,,,behaviouralKnowledge_0012|behaviouralKnowledge_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0014,exploratory,prefrontal,oxytocin,Biology,91.31,37.64,desiredPoints_value_371,Literature,completion_rate,expert,Unit confusion,hasPG_value_780,hasPS_value_258,hasPT_value_350,typeC,cluster_3,easy,precedence_value_240,0.779,0.584,0.969,hasCalculations_value_775,hasSuggestedTags_value_994,has_Answers_value_587,has_Epoch_value_253,has_Knowledge_value_620,has_token_value_460,superKC_value_370,OptionAnswer_value_636,Too abstract,context_value_338,corrected_value_243,currentOperation_value_409,pending,85,enabled_value_962,2023-03-06,Causal reversal,exercise_value_51,Sample hint text #877,item_value_593,hard,engagement_score,methodStep_value_35,methodname_43,multipleChoiceAnswer_value_264,numberOfFavorites_value_907,numberOfViews_value_267,16,2023-07-12,2023-09-23,Sample question text #716,resolution_value_206,size_value_625,2023-11-25,stepName_91,1,Physics,2023-09-24,statistics,Advanced Mathematics,Sample tokenized_statement text #395,typeC,,,behaviouralKnowledge_0006|behaviouralKnowledge_0015|behaviouralKnowledge_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0015,exploratory,prefrontal,oxytocin,Economics,33.12,72.27,desiredPoints_value_887,Calculus,mastery_level,expert,Off-by-one error,hasPG_value_872,hasPS_value_898,hasPT_value_362,typeC,cluster_5,medium,precedence_value_278,0.651,0.649,0.267,hasCalculations_value_26,hasSuggestedTags_value_135,has_Answers_value_843,has_Epoch_value_597,has_Knowledge_value_635,has_token_value_706,superKC_value_679,OptionAnswer_value_478,Could be improved,context_value_246,corrected_value_563,currentOperation_value_326,pending,39,enabled_value_894,2023-03-26,Unit confusion,exercise_value_63,Sample hint text #160,item_value_631,hard,mastery_level,methodStep_value_784,methodname_01,multipleChoiceAnswer_value_309,numberOfFavorites_value_716,numberOfViews_value_435,17,2023-09-13,2023-12-24,Sample question text #912,resolution_value_643,size_value_635,2023-12-18,stepName_82,20,Mathematics,2023-09-23,computer_science,Introduction to Algebra,Sample tokenized_statement text #205,typeB,,,behaviouralKnowledge_0006|behaviouralKnowledge_0016|behaviouralKnowledge_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0016,exploratory,striatum,acetylcholine,Physics,11.14,44.54,desiredPoints_value_468,Biology,engagement_score,easy,Unit confusion,hasPG_value_911,hasPS_value_417,hasPT_value_126,typeB,cluster_2,easy,precedence_value_759,0.489,0.378,0.474,hasCalculations_value_88,hasSuggestedTags_value_241,has_Answers_value_760,has_Epoch_value_541,has_Knowledge_value_740,has_token_value_508,superKC_value_203,OptionAnswer_value_65,Too abstract,context_value_21,corrected_value_716,currentOperation_value_656,completed,120,enabled_value_78,2023-10-23,Off-by-one error,exercise_value_408,Sample hint text #436,item_value_426,easy,correct_answers,methodStep_value_174,methodname_40,multipleChoiceAnswer_value_765,numberOfFavorites_value_691,numberOfViews_value_677,13,2023-10-24,2023-09-17,Sample question text #741,resolution_value_592,size_value_659,2023-12-14,stepName_62,13,Chemistry,2023-12-03,economics,Introduction to History,Sample tokenized_statement text #185,typeB,,,behaviouralKnowledge_0019|behaviouralKnowledge_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0017,cooperative,amygdala,acetylcholine,Literature,65.23,88.98,desiredPoints_value_566,Literature,engagement_score,easy,Causal reversal,hasPG_value_467,hasPS_value_105,hasPT_value_402,typeB,cluster_1,hard,precedence_value_532,0.666,0.359,0.61,hasCalculations_value_342,hasSuggestedTags_value_468,has_Answers_value_550,has_Epoch_value_380,has_Knowledge_value_709,has_token_value_177,superKC_value_197,OptionAnswer_value_980,Too abstract,context_value_155,corrected_value_612,currentOperation_value_515,active,8,enabled_value_804,2023-10-07,Unit confusion,exercise_value_777,Sample hint text #72,item_value_229,expert,time_on_task,methodStep_value_258,methodname_44,multipleChoiceAnswer_value_276,numberOfFavorites_value_132,numberOfViews_value_293,16,2023-02-03,2023-06-11,Sample question text #531,resolution_value_191,size_value_879,2023-03-03,stepName_72,4,Calculus,2023-10-11,physics,Advanced Mathematics,Sample tokenized_statement text #95,typeC,,,behaviouralKnowledge_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0018,competitive,striatum,acetylcholine,Computer Science,65.32,97.51,desiredPoints_value_621,Biology,score,medium,Off-by-one error,hasPG_value_813,hasPS_value_869,hasPT_value_401,typeB,cluster_3,medium,precedence_value_567,0.196,0.4,0.296,hasCalculations_value_358,hasSuggestedTags_value_331,has_Answers_value_9,has_Epoch_value_876,has_Knowledge_value_229,has_token_value_985,superKC_value_370,OptionAnswer_value_251,Needs more examples,context_value_712,corrected_value_941,currentOperation_value_756,completed,109,enabled_value_751,2023-02-02,Off-by-one error,exercise_value_165,Sample hint text #346,item_value_971,hard,xp_earned,methodStep_value_414,methodname_58,multipleChoiceAnswer_value_336,numberOfFavorites_value_788,numberOfViews_value_877,20,2023-02-10,2023-10-19,Sample question text #685,resolution_value_620,size_value_367,2023-10-25,stepName_97,15,Computer Science,2023-01-08,physics,Critical Thinking,Sample tokenized_statement text #825,typeB,,,behaviouralKnowledge_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0019,social,cerebellum,serotonin,Geography,55.19,18.66,desiredPoints_value_69,History,time_on_task,hard,Unit confusion,hasPG_value_380,hasPS_value_398,hasPT_value_824,typeA,cluster_4,expert,precedence_value_631,0.51,0.686,0.983,hasCalculations_value_236,hasSuggestedTags_value_448,has_Answers_value_513,has_Epoch_value_444,has_Knowledge_value_241,has_token_value_430,superKC_value_648,OptionAnswer_value_873,Too abstract,context_value_686,corrected_value_320,currentOperation_value_737,pending,119,enabled_value_594,2023-09-04,Off-by-one error,exercise_value_678,Sample hint text #414,item_value_954,medium,completion_rate,methodStep_value_803,methodname_53,multipleChoiceAnswer_value_881,numberOfFavorites_value_460,numberOfViews_value_780,7,2023-10-05,2023-11-01,Sample question text #387,resolution_value_841,size_value_727,2023-01-09,stepName_18,19,History,2023-03-20,philosophy,Introduction to History,Sample tokenized_statement text #775,typeA,,,behaviouralKnowledge_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0020,cooperative,amygdala,acetylcholine,History,95.7,64.23,desiredPoints_value_811,Statistics,attempt_count,easy,Formula inversion,hasPG_value_617,hasPS_value_680,hasPT_value_495,typeC,cluster_2,easy,precedence_value_590,0.579,0.207,0.48,hasCalculations_value_896,hasSuggestedTags_value_122,has_Answers_value_97,has_Epoch_value_142,has_Knowledge_value_954,has_token_value_19,superKC_value_221,OptionAnswer_value_524,Needs more examples,context_value_741,corrected_value_607,currentOperation_value_630,completed,80,enabled_value_775,2023-10-27,Off-by-one error,exercise_value_108,Sample hint text #378,item_value_911,easy,streak_count,methodStep_value_974,methodname_87,multipleChoiceAnswer_value_377,numberOfFavorites_value_637,numberOfViews_value_358,10,2023-08-14,2023-02-14,Sample question text #573,resolution_value_771,size_value_63,2023-12-21,stepName_50,17,Mathematics,2023-04-02,history,Project Management,Sample tokenized_statement text #991,typeA,,,behaviouralKnowledge_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
