# CLASS: InstrutionalPlan
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#InstrutionalPlan
# COLUMNS:
#   id: id — Unique identifier, e.g. instrutionalPlan_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   Level: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_PedagogicalUnit: object — Ref to ['PedagogicalUnit', 'PedagogicalUnit']
#   REF_has_Sequencing: object — Ref to ['Sequencing', 'Sequencing']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,Level,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_PedagogicalUnit,REF_has_Sequencing,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
instrutionalPlan_0011,cooperative,amygdala,norepinephrine,Statistics,hard,75.45,45.41,desiredPoints_value_578,Economics,mastery_level,medium,Concept conflation,hasPG_value_436,hasPS_value_907,hasPT_value_533,typeA,cluster_5,medium,precedence_value_371,0.151,0.868,0.215,hasCalculations_value_639,hasSuggestedTags_value_878,has_Answers_value_197,has_Epoch_value_961,has_Knowledge_value_350,has_token_value_706,superKC_value_255,OptionAnswer_value_955,Too abstract,context_value_178,corrected_value_988,currentOperation_value_66,pending,13,enabled_value_502,2023-04-22,Unit confusion,exercise_value_809,Sample hint text #389,item_value_431,easy,correct_answers,methodStep_value_976,methodname_69,multipleChoiceAnswer_value_742,numberOfFavorites_value_588,numberOfViews_value_656,19,2023-12-24,2023-03-24,Sample question text #262,resolution_value_482,size_value_105,2023-06-16,stepName_42,14,Physics,2023-01-18,mathematics,Research Methods,Sample tokenized_statement text #932,typeA,,,engagementLoop_0007,pedagogicalUnit_0006,sequencing_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0012,survivor,prefrontal,serotonin,Philosophy,hard,96.12,10.66,desiredPoints_value_99,Calculus,correct_answers,medium,Sign error,hasPG_value_196,hasPS_value_157,hasPT_value_569,typeB,cluster_3,easy,precedence_value_269,0.976,0.935,0.409,hasCalculations_value_237,hasSuggestedTags_value_643,has_Answers_value_137,has_Epoch_value_423,has_Knowledge_value_762,has_token_value_765,superKC_value_131,OptionAnswer_value_117,Too abstract,context_value_271,corrected_value_328,currentOperation_value_208,paused,18,enabled_value_345,2023-11-02,Unit confusion,exercise_value_330,Sample hint text #128,item_value_855,expert,engagement_score,methodStep_value_557,methodname_57,multipleChoiceAnswer_value_506,numberOfFavorites_value_564,numberOfViews_value_513,2,2023-02-22,2023-02-21,Sample question text #362,resolution_value_780,size_value_621,2023-02-07,stepName_23,14,Economics,2023-05-06,biology,Introduction to Geography,Sample tokenized_statement text #724,typeC,,,engagementLoop_0007|engagementLoop_0001,pedagogicalUnit_0009|pedagogicalUnit_0004,sequencing_0003|sequencing_0014|sequencing_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0013,survivor,striatum,oxytocin,Data Science,medium,8.66,87.64,desiredPoints_value_874,Geography,engagement_score,easy,Concept conflation,hasPG_value_466,hasPS_value_254,hasPT_value_181,typeA,cluster_5,easy,precedence_value_363,0.293,0.339,0.454,hasCalculations_value_962,hasSuggestedTags_value_573,has_Answers_value_748,has_Epoch_value_481,has_Knowledge_value_448,has_token_value_655,superKC_value_797,OptionAnswer_value_166,Could be improved,context_value_391,corrected_value_7,currentOperation_value_901,completed,117,enabled_value_221,2023-06-14,Unit confusion,exercise_value_23,Sample hint text #693,item_value_598,medium,error_rate,methodStep_value_638,methodname_79,multipleChoiceAnswer_value_779,numberOfFavorites_value_631,numberOfViews_value_547,14,2023-09-20,2023-02-20,Sample question text #742,resolution_value_383,size_value_13,2023-08-23,stepName_72,14,Computer Science,2023-10-13,philosophy,Advanced History,Sample tokenized_statement text #622,typeC,,,engagementLoop_0007,pedagogicalUnit_0009,sequencing_0008|sequencing_0017|sequencing_0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0014,achiever,striatum,norepinephrine,Literature,easy,17.33,96.32,desiredPoints_value_86,Philosophy,xp_earned,easy,Off-by-one error,hasPG_value_146,hasPS_value_297,hasPT_value_94,typeB,cluster_3,easy,precedence_value_507,0.848,0.327,0.761,hasCalculations_value_928,hasSuggestedTags_value_223,has_Answers_value_921,has_Epoch_value_945,has_Knowledge_value_944,has_token_value_464,superKC_value_216,OptionAnswer_value_342,Needs more examples,context_value_208,corrected_value_170,currentOperation_value_901,paused,9,enabled_value_134,2023-09-25,Concept conflation,exercise_value_620,Sample hint text #412,item_value_419,expert,mastery_level,methodStep_value_444,methodname_69,multipleChoiceAnswer_value_378,numberOfFavorites_value_833,numberOfViews_value_553,9,2023-04-03,2023-02-13,Sample question text #166,resolution_value_936,size_value_69,2023-01-23,stepName_86,13,Geography,2023-02-10,data_science,Advanced Geography,Sample tokenized_statement text #260,typeB,,,engagementLoop_0010,pedagogicalUnit_0002|pedagogicalUnit_0010,sequencing_0013|sequencing_0006|sequencing_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0015,exploratory,amygdala,acetylcholine,Computer Science,easy,66.3,93.22,desiredPoints_value_697,Mathematics,streak_count,medium,Formula inversion,hasPG_value_339,hasPS_value_588,hasPT_value_425,typeA,cluster_5,hard,precedence_value_562,0.383,0.451,0.189,hasCalculations_value_340,hasSuggestedTags_value_889,has_Answers_value_534,has_Epoch_value_307,has_Knowledge_value_209,has_token_value_262,superKC_value_924,OptionAnswer_value_165,Needs more examples,context_value_103,corrected_value_269,currentOperation_value_581,pending,103,enabled_value_342,2023-03-24,Off-by-one error,exercise_value_173,Sample hint text #354,item_value_725,expert,error_rate,methodStep_value_435,methodname_18,multipleChoiceAnswer_value_659,numberOfFavorites_value_993,numberOfViews_value_780,1,2023-10-17,2023-02-18,Sample question text #46,resolution_value_699,size_value_280,2023-01-21,stepName_74,20,Philosophy,2023-02-11,physics,Introduction to Philosophy,Sample tokenized_statement text #764,typeA,,,engagementLoop_0001|engagementLoop_0002,pedagogicalUnit_0008,sequencing_0001|sequencing_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0016,survivor,prefrontal,norepinephrine,Computer Science,hard,71.52,97.03,desiredPoints_value_705,Literature,time_on_task,expert,Unit confusion,hasPG_value_74,hasPS_value_911,hasPT_value_188,typeA,cluster_4,hard,precedence_value_464,0.136,0.692,0.689,hasCalculations_value_717,hasSuggestedTags_value_589,has_Answers_value_758,has_Epoch_value_884,has_Knowledge_value_183,has_token_value_293,superKC_value_349,OptionAnswer_value_217,Challenging but rewarding,context_value_951,corrected_value_742,currentOperation_value_408,active,113,enabled_value_297,2023-03-09,Off-by-one error,exercise_value_550,Sample hint text #978,item_value_86,expert,hint_usage,methodStep_value_725,methodname_81,multipleChoiceAnswer_value_284,numberOfFavorites_value_142,numberOfViews_value_377,8,2023-10-23,2023-12-27,Sample question text #750,resolution_value_825,size_value_872,2023-07-17,stepName_84,11,Algebra,2023-11-06,computer_science,Introduction to Calculus,Sample tokenized_statement text #516,typeA,,,engagementLoop_0009,pedagogicalUnit_0008,sequencing_0016|sequencing_0007|sequencing_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0017,cooperative,amygdala,acetylcholine,Literature,easy,93.57,88.37,desiredPoints_value_799,Algebra,mastery_level,easy,Concept conflation,hasPG_value_824,hasPS_value_500,hasPT_value_2,typeA,cluster_1,expert,precedence_value_602,0.706,0.607,0.674,hasCalculations_value_367,hasSuggestedTags_value_888,has_Answers_value_936,has_Epoch_value_104,has_Knowledge_value_851,has_token_value_851,superKC_value_703,OptionAnswer_value_326,Challenging but rewarding,context_value_80,corrected_value_77,currentOperation_value_481,pending,88,enabled_value_219,2023-04-04,Formula inversion,exercise_value_57,Sample hint text #139,item_value_687,hard,time_on_task,methodStep_value_245,methodname_64,multipleChoiceAnswer_value_613,numberOfFavorites_value_486,numberOfViews_value_2,18,2023-07-02,2023-05-21,Sample question text #242,resolution_value_479,size_value_782,2023-08-12,stepName_71,15,Chemistry,2023-06-07,computer_science,Introduction to Chemistry,Sample tokenized_statement text #505,typeA,,,engagementLoop_0004,pedagogicalUnit_0008|pedagogicalUnit_0010,sequencing_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0018,competitive,prefrontal,serotonin,Geography,expert,57.54,80.79,desiredPoints_value_279,Computer Science,hint_usage,easy,Sign error,hasPG_value_947,hasPS_value_928,hasPT_value_242,typeA,cluster_1,hard,precedence_value_94,0.595,0.503,0.61,hasCalculations_value_553,hasSuggestedTags_value_769,has_Answers_value_809,has_Epoch_value_709,has_Knowledge_value_309,has_token_value_162,superKC_value_145,OptionAnswer_value_423,Could be improved,context_value_443,corrected_value_203,currentOperation_value_89,pending,43,enabled_value_905,2023-04-01,Concept conflation,exercise_value_902,Sample hint text #854,item_value_630,easy,time_on_task,methodStep_value_658,methodname_84,multipleChoiceAnswer_value_967,numberOfFavorites_value_319,numberOfViews_value_709,19,2023-02-08,2023-02-12,Sample question text #841,resolution_value_391,size_value_656,2023-06-07,stepName_91,13,Literature,2023-08-03,biology,Introduction to Algebra,Sample tokenized_statement text #314,typeB,,,engagementLoop_0007|engagementLoop_0001|engagementLoop_0003,pedagogicalUnit_0010|pedagogicalUnit_0001|pedagogicalUnit_0006,sequencing_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0019,survivor,prefrontal,serotonin,Chemistry,hard,68.69,83.07,desiredPoints_value_524,Statistics,attempt_count,medium,Causal reversal,hasPG_value_610,hasPS_value_458,hasPT_value_781,typeC,cluster_5,medium,precedence_value_730,0.256,0.849,0.355,hasCalculations_value_449,hasSuggestedTags_value_468,has_Answers_value_323,has_Epoch_value_563,has_Knowledge_value_246,has_token_value_657,superKC_value_227,OptionAnswer_value_355,Needs more examples,context_value_123,corrected_value_686,currentOperation_value_623,paused,5,enabled_value_700,2023-07-10,Off-by-one error,exercise_value_978,Sample hint text #444,item_value_296,easy,completion_rate,methodStep_value_201,methodname_89,multipleChoiceAnswer_value_968,numberOfFavorites_value_806,numberOfViews_value_756,3,2023-06-09,2023-01-05,Sample question text #316,resolution_value_268,size_value_472,2023-09-07,stepName_02,15,Geography,2023-01-04,literature,Introduction to Literature,Sample tokenized_statement text #146,typeB,,,engagementLoop_0001|engagementLoop_0007|engagementLoop_0009,pedagogicalUnit_0004|pedagogicalUnit_0009|pedagogicalUnit_0010,sequencing_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrutionalPlan_0020,cooperative,striatum,oxytocin,Statistics,expert,20.1,92.86,desiredPoints_value_957,History,completion_rate,expert,Sign error,hasPG_value_748,hasPS_value_76,hasPT_value_192,typeB,cluster_3,hard,precedence_value_964,0.285,0.388,0.418,hasCalculations_value_664,hasSuggestedTags_value_968,has_Answers_value_787,has_Epoch_value_493,has_Knowledge_value_626,has_token_value_980,superKC_value_444,OptionAnswer_value_491,Could be improved,context_value_314,corrected_value_400,currentOperation_value_491,completed,54,enabled_value_611,2023-09-14,Causal reversal,exercise_value_200,Sample hint text #5,item_value_914,easy,xp_earned,methodStep_value_239,methodname_27,multipleChoiceAnswer_value_226,numberOfFavorites_value_136,numberOfViews_value_500,20,2023-09-24,2023-12-18,Sample question text #972,resolution_value_139,size_value_832,2023-02-27,stepName_58,1,Chemistry,2023-11-14,statistics,Advanced Physics,Sample tokenized_statement text #124,typeC,,,engagementLoop_0003|engagementLoop_0003|engagementLoop_0010,pedagogicalUnit_0010|pedagogicalUnit_0004|pedagogicalUnit_0008,sequencing_0008|sequencing_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
