# CLASS: ResourceUnit
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ResourceUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. resourceUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   statement: data — str
#   time: data — float
#   type: data — str
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_Resource: object — Ref to ['Resource', 'Resource']
#   REF_has_domain: object — Ref to ['?']
#   REF_next_Unit: object — Ref to ['ResourceUnit', 'ResourceUnit']
#   REF_previous_Unit: object — Ref to ['ResourceUnit', 'ResourceUnit']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,statement,time,type,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_Resource,REF_has_domain,REF_next_Unit,REF_previous_Unit,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
resourceUnit_0011,exploratory,cerebellum,dopamine,Algebra,Sample statement text #247,97.33,typeC,62.96,desiredPoints_value_456,Philosophy,streak_count,hard,Off-by-one error,hasPG_value_638,hasPS_value_813,hasPT_value_879,typeC,cluster_4,medium,precedence_value_720,0.264,0.15,0.031,hasCalculations_value_371,hasSuggestedTags_value_519,has_Answers_value_580,has_Epoch_value_478,has_Knowledge_value_178,has_token_value_239,superKC_value_841,OptionAnswer_value_784,Too abstract,context_value_610,corrected_value_65,currentOperation_value_810,pending,104,enabled_value_954,2023-06-06,Sign error,exercise_value_615,Sample hint text #160,item_value_627,expert,engagement_score,methodStep_value_806,methodname_05,multipleChoiceAnswer_value_187,numberOfFavorites_value_374,numberOfViews_value_646,19,2023-09-10,2023-06-18,Sample question text #829,resolution_value_328,size_value_936,2023-06-27,stepName_37,5,Chemistry,2023-01-11,history,Project Management,Sample tokenized_statement text #515,typeC,,,engagementLoop_0006|engagementLoop_0009,resource_0012,,resourceUnit_0006|resourceUnit_0011|resourceUnit_0008,resourceUnit_0004|resourceUnit_0008,strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0012,survivor,prefrontal,acetylcholine,Mathematics,Sample statement text #865,63.19,typeC,21.55,desiredPoints_value_212,Mathematics,error_rate,easy,Formula inversion,hasPG_value_88,hasPS_value_624,hasPT_value_999,typeC,cluster_3,hard,precedence_value_897,0.829,0.795,0.189,hasCalculations_value_610,hasSuggestedTags_value_906,has_Answers_value_384,has_Epoch_value_665,has_Knowledge_value_851,has_token_value_123,superKC_value_403,OptionAnswer_value_875,Very clear,context_value_130,corrected_value_73,currentOperation_value_897,pending,93,enabled_value_434,2023-11-28,Formula inversion,exercise_value_277,Sample hint text #816,item_value_571,expert,time_on_task,methodStep_value_509,methodname_37,multipleChoiceAnswer_value_837,numberOfFavorites_value_504,numberOfViews_value_53,8,2023-11-01,2023-04-14,Sample question text #403,resolution_value_250,size_value_979,2023-09-14,stepName_86,2,Chemistry,2023-07-21,economics,Advanced Mathematics,Sample tokenized_statement text #848,typeA,,,engagementLoop_0005|engagementLoop_0001|engagementLoop_0007,resource_0002|resource_0002,,resourceUnit_0003,resourceUnit_0009|resourceUnit_0006|resourceUnit_0002,strategy_0015|strategy_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0013,cooperative,prefrontal,oxytocin,Economics,Sample statement text #655,46.91,typeC,12.31,desiredPoints_value_161,Computer Science,hint_usage,expert,Off-by-one error,hasPG_value_11,hasPS_value_252,hasPT_value_899,typeB,cluster_1,easy,precedence_value_781,0.374,0.561,0.796,hasCalculations_value_177,hasSuggestedTags_value_824,has_Answers_value_541,has_Epoch_value_462,has_Knowledge_value_29,has_token_value_861,superKC_value_242,OptionAnswer_value_382,Good explanation,context_value_489,corrected_value_89,currentOperation_value_604,pending,90,enabled_value_768,2023-12-19,Formula inversion,exercise_value_265,Sample hint text #347,item_value_16,easy,progress_ratio,methodStep_value_489,methodname_07,multipleChoiceAnswer_value_438,numberOfFavorites_value_274,numberOfViews_value_972,9,2023-01-26,2023-12-16,Sample question text #676,resolution_value_74,size_value_656,2023-03-22,stepName_42,8,Algebra,2023-05-14,physics,Introduction to Biology,Sample tokenized_statement text #333,typeB,,,engagementLoop_0001|engagementLoop_0006|engagementLoop_0009,resource_0002|resource_0009|resource_0009,,resourceUnit_0013|resourceUnit_0009|resourceUnit_0011,resourceUnit_0002,strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0014,achiever,hippocampus,dopamine,Biology,Sample statement text #947,3.01,typeC,97.44,desiredPoints_value_916,Biology,progress_ratio,hard,Sign error,hasPG_value_114,hasPS_value_77,hasPT_value_787,typeB,cluster_5,hard,precedence_value_651,0.687,0.809,0.352,hasCalculations_value_131,hasSuggestedTags_value_151,has_Answers_value_907,has_Epoch_value_774,has_Knowledge_value_888,has_token_value_211,superKC_value_270,OptionAnswer_value_336,Good explanation,context_value_852,corrected_value_835,currentOperation_value_564,paused,8,enabled_value_704,2023-08-26,Off-by-one error,exercise_value_926,Sample hint text #760,item_value_880,medium,engagement_score,methodStep_value_879,methodname_99,multipleChoiceAnswer_value_393,numberOfFavorites_value_393,numberOfViews_value_828,15,2023-01-22,2023-09-02,Sample question text #394,resolution_value_781,size_value_11,2023-07-02,stepName_44,2,Data Science,2023-07-10,mathematics,Introduction to Data Science,Sample tokenized_statement text #98,typeA,,,engagementLoop_0008|engagementLoop_0006|engagementLoop_0008,resource_0018|resource_0002|resource_0007,,resourceUnit_0010|resourceUnit_0010|resourceUnit_0009,resourceUnit_0001,strategy_0002|strategy_0018|strategy_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0015,achiever,cerebellum,serotonin,Geography,Sample statement text #231,10.13,typeA,73.87,desiredPoints_value_885,History,correct_answers,easy,Unit confusion,hasPG_value_924,hasPS_value_686,hasPT_value_367,typeA,cluster_2,hard,precedence_value_667,0.709,0.067,0.932,hasCalculations_value_81,hasSuggestedTags_value_301,has_Answers_value_900,has_Epoch_value_566,has_Knowledge_value_844,has_token_value_956,superKC_value_107,OptionAnswer_value_142,Very clear,context_value_750,corrected_value_563,currentOperation_value_580,completed,116,enabled_value_842,2023-07-12,Concept conflation,exercise_value_713,Sample hint text #225,item_value_336,medium,engagement_score,methodStep_value_246,methodname_69,multipleChoiceAnswer_value_210,numberOfFavorites_value_870,numberOfViews_value_987,20,2023-07-26,2023-09-18,Sample question text #332,resolution_value_418,size_value_28,2023-12-14,stepName_79,9,Geography,2023-07-17,statistics,Introduction to Economics,Sample tokenized_statement text #450,typeA,,,engagementLoop_0007|engagementLoop_0003|engagementLoop_0002,resource_0017|resource_0018,,resourceUnit_0011|resourceUnit_0004,resourceUnit_0006,strategy_0016|strategy_0019|strategy_0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0016,exploratory,cerebellum,norepinephrine,Philosophy,Sample statement text #223,0.49,typeC,69.49,desiredPoints_value_317,Geography,engagement_score,hard,Unit confusion,hasPG_value_611,hasPS_value_667,hasPT_value_737,typeA,cluster_2,medium,precedence_value_60,0.48,0.875,0.115,hasCalculations_value_804,hasSuggestedTags_value_318,has_Answers_value_672,has_Epoch_value_396,has_Knowledge_value_844,has_token_value_338,superKC_value_943,OptionAnswer_value_704,Good explanation,context_value_670,corrected_value_692,currentOperation_value_953,completed,76,enabled_value_433,2023-01-27,Off-by-one error,exercise_value_79,Sample hint text #520,item_value_256,expert,correct_answers,methodStep_value_856,methodname_79,multipleChoiceAnswer_value_69,numberOfFavorites_value_33,numberOfViews_value_523,3,2023-09-23,2023-10-18,Sample question text #100,resolution_value_712,size_value_664,2023-04-16,stepName_68,2,Physics,2023-02-02,history,Advanced Mathematics,Sample tokenized_statement text #4,typeC,,,engagementLoop_0009|engagementLoop_0010|engagementLoop_0009,resource_0001|resource_0015,,resourceUnit_0009|resourceUnit_0007|resourceUnit_0010,resourceUnit_0009|resourceUnit_0006,strategy_0005|strategy_0017|strategy_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0017,competitive,hippocampus,dopamine,Philosophy,Sample statement text #280,36.23,typeC,67.92,desiredPoints_value_136,Literature,attempt_count,medium,Off-by-one error,hasPG_value_417,hasPS_value_350,hasPT_value_366,typeA,cluster_3,expert,precedence_value_177,0.68,0.867,0.85,hasCalculations_value_8,hasSuggestedTags_value_546,has_Answers_value_525,has_Epoch_value_556,has_Knowledge_value_767,has_token_value_534,superKC_value_669,OptionAnswer_value_998,Very clear,context_value_658,corrected_value_432,currentOperation_value_306,active,44,enabled_value_246,2023-08-15,Sign error,exercise_value_164,Sample hint text #184,item_value_520,hard,attempt_count,methodStep_value_965,methodname_55,multipleChoiceAnswer_value_808,numberOfFavorites_value_594,numberOfViews_value_988,7,2023-02-27,2023-05-19,Sample question text #238,resolution_value_364,size_value_295,2023-09-18,stepName_10,2,Data Science,2023-08-07,chemistry,Advanced Mathematics,Sample tokenized_statement text #427,typeC,,,engagementLoop_0009,resource_0019|resource_0003|resource_0016,,resourceUnit_0014|resourceUnit_0012,resourceUnit_0006,strategy_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0018,cooperative,amygdala,serotonin,Algebra,Sample statement text #466,98.38,typeB,85.8,desiredPoints_value_595,Biology,time_on_task,hard,Concept conflation,hasPG_value_322,hasPS_value_118,hasPT_value_712,typeB,cluster_1,hard,precedence_value_589,0.274,0.664,0.495,hasCalculations_value_945,hasSuggestedTags_value_840,has_Answers_value_442,has_Epoch_value_892,has_Knowledge_value_871,has_token_value_485,superKC_value_138,OptionAnswer_value_233,Challenging but rewarding,context_value_470,corrected_value_792,currentOperation_value_638,active,18,enabled_value_538,2023-09-05,Off-by-one error,exercise_value_775,Sample hint text #955,item_value_767,easy,engagement_score,methodStep_value_387,methodname_99,multipleChoiceAnswer_value_782,numberOfFavorites_value_699,numberOfViews_value_33,11,2023-11-25,2023-10-12,Sample question text #914,resolution_value_326,size_value_549,2023-11-21,stepName_88,15,Algebra,2023-01-09,chemistry,Introduction to Data Science,Sample tokenized_statement text #229,typeC,,,engagementLoop_0005|engagementLoop_0004,resource_0007|resource_0011|resource_0016,,resourceUnit_0006,resourceUnit_0008|resourceUnit_0007,strategy_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0019,competitive,prefrontal,oxytocin,Statistics,Sample statement text #481,21.47,typeB,83.91,desiredPoints_value_215,Economics,error_rate,hard,Formula inversion,hasPG_value_120,hasPS_value_160,hasPT_value_119,typeB,cluster_4,medium,precedence_value_618,0.384,0.897,0.522,hasCalculations_value_787,hasSuggestedTags_value_705,has_Answers_value_186,has_Epoch_value_490,has_Knowledge_value_235,has_token_value_272,superKC_value_174,OptionAnswer_value_537,Challenging but rewarding,context_value_891,corrected_value_61,currentOperation_value_670,pending,26,enabled_value_407,2023-09-11,Causal reversal,exercise_value_703,Sample hint text #299,item_value_298,expert,error_rate,methodStep_value_646,methodname_84,multipleChoiceAnswer_value_646,numberOfFavorites_value_733,numberOfViews_value_979,13,2023-09-17,2023-10-11,Sample question text #960,resolution_value_519,size_value_995,2023-10-20,stepName_31,5,Physics,2023-10-03,statistics,Project Management,Sample tokenized_statement text #235,typeA,,,engagementLoop_0002|engagementLoop_0009|engagementLoop_0010,resource_0007,,resourceUnit_0002|resourceUnit_0014,resourceUnit_0016|resourceUnit_0004,strategy_0017|strategy_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0020,survivor,hippocampus,norepinephrine,History,Sample statement text #425,16.84,typeA,85.65,desiredPoints_value_317,Statistics,streak_count,hard,Off-by-one error,hasPG_value_415,hasPS_value_955,hasPT_value_221,typeA,cluster_4,expert,precedence_value_787,0.754,0.843,0.487,hasCalculations_value_55,hasSuggestedTags_value_64,has_Answers_value_227,has_Epoch_value_225,has_Knowledge_value_452,has_token_value_601,superKC_value_17,OptionAnswer_value_264,Very clear,context_value_273,corrected_value_817,currentOperation_value_129,active,21,enabled_value_767,2023-01-14,Causal reversal,exercise_value_405,Sample hint text #22,item_value_384,easy,xp_earned,methodStep_value_852,methodname_69,multipleChoiceAnswer_value_786,numberOfFavorites_value_334,numberOfViews_value_429,19,2023-01-25,2023-03-24,Sample question text #573,resolution_value_683,size_value_596,2023-02-21,stepName_64,2,Economics,2023-09-17,mathematics,Advanced Mathematics,Sample tokenized_statement text #830,typeA,,,engagementLoop_0005|engagementLoop_0002,resource_0002|resource_0016,,resourceUnit_0016,resourceUnit_0009|resourceUnit_0010|resourceUnit_0010,strategy_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
