# CLASS: ProblemUnit
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ProblemUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. problemUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   isExplained: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_Problem: object — Ref to ['Problem', 'Problem']
#   REF_has_ProblemNext: object — Ref to ['ProblemNext', 'ProblemNext']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,isExplained,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_Problem,REF_has_ProblemNext,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
problemUnit_0011,social,amygdala,oxytocin,Algebra,isExplained_value_554,18.77,13.31,desiredPoints_value_601,Literature,score,expert,Causal reversal,hasPG_value_199,hasPS_value_399,hasPT_value_977,typeB,cluster_4,easy,precedence_value_467,0.917,0.458,0.185,hasCalculations_value_421,hasSuggestedTags_value_734,has_Answers_value_946,has_Epoch_value_698,has_Knowledge_value_585,has_token_value_724,superKC_value_307,OptionAnswer_value_956,Could be improved,context_value_808,corrected_value_185,currentOperation_value_706,paused,84,enabled_value_102,2023-06-28,Unit confusion,exercise_value_725,Sample hint text #554,item_value_648,expert,mastery_level,methodStep_value_558,methodname_94,multipleChoiceAnswer_value_91,numberOfFavorites_value_688,numberOfViews_value_652,9,2023-02-23,2023-03-09,Sample question text #336,resolution_value_853,size_value_168,2023-08-25,stepName_61,2,Geography,2023-01-26,economics,Advanced Physics,Sample tokenized_statement text #346,typeB,,,engagementLoop_0001,problem_0011|problem_0017,problemNext_0015|problemNext_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0012,achiever,cerebellum,oxytocin,Statistics,isExplained_value_841,91.46,44.19,desiredPoints_value_984,Philosophy,xp_earned,hard,Off-by-one error,hasPG_value_104,hasPS_value_232,hasPT_value_909,typeC,cluster_1,medium,precedence_value_539,0.461,0.438,0.278,hasCalculations_value_733,hasSuggestedTags_value_83,has_Answers_value_306,has_Epoch_value_897,has_Knowledge_value_173,has_token_value_23,superKC_value_104,OptionAnswer_value_247,Too abstract,context_value_857,corrected_value_639,currentOperation_value_836,pending,32,enabled_value_566,2023-12-06,Concept conflation,exercise_value_680,Sample hint text #783,item_value_952,easy,hint_usage,methodStep_value_18,methodname_38,multipleChoiceAnswer_value_400,numberOfFavorites_value_182,numberOfViews_value_320,16,2023-09-14,2023-11-24,Sample question text #201,resolution_value_815,size_value_367,2023-08-25,stepName_24,7,Literature,2023-11-06,computer_science,Introduction to Computer Science,Sample tokenized_statement text #239,typeA,,,engagementLoop_0009|engagementLoop_0001|engagementLoop_0008,problem_0001|problem_0019,problemNext_0006|problemNext_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0013,exploratory,prefrontal,serotonin,Calculus,isExplained_value_65,97.65,94.16,desiredPoints_value_44,Calculus,progress_ratio,hard,Unit confusion,hasPG_value_982,hasPS_value_616,hasPT_value_397,typeC,cluster_4,easy,precedence_value_499,0.46,0.718,0.188,hasCalculations_value_801,hasSuggestedTags_value_925,has_Answers_value_484,has_Epoch_value_580,has_Knowledge_value_955,has_token_value_4,superKC_value_587,OptionAnswer_value_636,Good explanation,context_value_712,corrected_value_892,currentOperation_value_739,pending,55,enabled_value_457,2023-07-03,Formula inversion,exercise_value_20,Sample hint text #612,item_value_589,hard,score,methodStep_value_95,methodname_97,multipleChoiceAnswer_value_41,numberOfFavorites_value_221,numberOfViews_value_732,12,2023-07-24,2023-03-11,Sample question text #495,resolution_value_710,size_value_408,2023-03-03,stepName_08,20,Mathematics,2023-03-17,mathematics,Introduction to Data Science,Sample tokenized_statement text #465,typeC,,,engagementLoop_0001|engagementLoop_0002|engagementLoop_0001,problem_0004,problemNext_0020|problemNext_0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0014,competitive,amygdala,acetylcholine,Calculus,isExplained_value_864,83.34,38.22,desiredPoints_value_244,Mathematics,attempt_count,expert,Sign error,hasPG_value_509,hasPS_value_382,hasPT_value_445,typeA,cluster_2,easy,precedence_value_168,0.114,0.319,0.568,hasCalculations_value_843,hasSuggestedTags_value_944,has_Answers_value_575,has_Epoch_value_218,has_Knowledge_value_578,has_token_value_718,superKC_value_23,OptionAnswer_value_329,Needs more examples,context_value_471,corrected_value_30,currentOperation_value_121,completed,87,enabled_value_490,2023-12-13,Causal reversal,exercise_value_759,Sample hint text #30,item_value_990,expert,completion_rate,methodStep_value_5,methodname_86,multipleChoiceAnswer_value_854,numberOfFavorites_value_222,numberOfViews_value_157,9,2023-09-20,2023-04-27,Sample question text #795,resolution_value_145,size_value_233,2023-11-15,stepName_62,12,Literature,2023-08-16,philosophy,Introduction to Economics,Sample tokenized_statement text #958,typeB,,,engagementLoop_0008|engagementLoop_0001,problem_0012,problemNext_0008|problemNext_0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0015,achiever,amygdala,serotonin,Literature,isExplained_value_666,97.7,60.43,desiredPoints_value_996,Economics,xp_earned,easy,Formula inversion,hasPG_value_452,hasPS_value_368,hasPT_value_488,typeC,cluster_3,expert,precedence_value_813,0.345,0.339,0.75,hasCalculations_value_563,hasSuggestedTags_value_381,has_Answers_value_404,has_Epoch_value_842,has_Knowledge_value_307,has_token_value_376,superKC_value_90,OptionAnswer_value_795,Could be improved,context_value_596,corrected_value_184,currentOperation_value_284,completed,62,enabled_value_582,2023-04-09,Formula inversion,exercise_value_552,Sample hint text #698,item_value_131,hard,score,methodStep_value_409,methodname_45,multipleChoiceAnswer_value_148,numberOfFavorites_value_188,numberOfViews_value_684,17,2023-08-07,2023-06-04,Sample question text #89,resolution_value_564,size_value_479,2023-08-17,stepName_51,8,History,2023-11-03,history,Introduction to Philosophy,Sample tokenized_statement text #574,typeB,,,engagementLoop_0006|engagementLoop_0005|engagementLoop_0010,problem_0007|problem_0013,problemNext_0009|problemNext_0005|problemNext_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0016,cooperative,hippocampus,oxytocin,Economics,isExplained_value_450,85.26,99.79,desiredPoints_value_978,Calculus,completion_rate,expert,Formula inversion,hasPG_value_895,hasPS_value_583,hasPT_value_972,typeB,cluster_1,expert,precedence_value_684,0.539,0.795,0.67,hasCalculations_value_449,hasSuggestedTags_value_684,has_Answers_value_732,has_Epoch_value_802,has_Knowledge_value_290,has_token_value_748,superKC_value_942,OptionAnswer_value_179,Good explanation,context_value_339,corrected_value_703,currentOperation_value_720,active,90,enabled_value_841,2023-06-16,Concept conflation,exercise_value_992,Sample hint text #304,item_value_414,medium,completion_rate,methodStep_value_843,methodname_09,multipleChoiceAnswer_value_415,numberOfFavorites_value_215,numberOfViews_value_269,14,2023-06-03,2023-09-24,Sample question text #415,resolution_value_879,size_value_326,2023-02-12,stepName_30,3,Chemistry,2023-02-10,physics,Research Methods,Sample tokenized_statement text #880,typeA,,,engagementLoop_0007|engagementLoop_0005|engagementLoop_0010,problem_0011|problem_0020|problem_0004,problemNext_0008|problemNext_0013|problemNext_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0017,competitive,amygdala,acetylcholine,Calculus,isExplained_value_420,80.78,78.33,desiredPoints_value_105,Computer Science,error_rate,hard,Concept conflation,hasPG_value_243,hasPS_value_629,hasPT_value_425,typeB,cluster_1,easy,precedence_value_919,0.815,0.335,0.692,hasCalculations_value_169,hasSuggestedTags_value_189,has_Answers_value_397,has_Epoch_value_316,has_Knowledge_value_80,has_token_value_756,superKC_value_137,OptionAnswer_value_270,Very clear,context_value_980,corrected_value_923,currentOperation_value_384,pending,24,enabled_value_705,2023-11-24,Concept conflation,exercise_value_370,Sample hint text #736,item_value_498,expert,time_on_task,methodStep_value_942,methodname_41,multipleChoiceAnswer_value_118,numberOfFavorites_value_389,numberOfViews_value_557,8,2023-03-01,2023-03-06,Sample question text #818,resolution_value_905,size_value_475,2023-12-04,stepName_11,7,Statistics,2023-02-17,mathematics,Introduction to Physics,Sample tokenized_statement text #147,typeA,,,engagementLoop_0009|engagementLoop_0007|engagementLoop_0002,problem_0015,problemNext_0009|problemNext_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0018,exploratory,amygdala,acetylcholine,Statistics,isExplained_value_498,24.66,68.66,desiredPoints_value_222,Chemistry,mastery_level,medium,Sign error,hasPG_value_905,hasPS_value_621,hasPT_value_70,typeA,cluster_2,easy,precedence_value_563,0.792,0.635,0.416,hasCalculations_value_595,hasSuggestedTags_value_832,has_Answers_value_744,has_Epoch_value_269,has_Knowledge_value_639,has_token_value_530,superKC_value_255,OptionAnswer_value_367,Challenging but rewarding,context_value_526,corrected_value_657,currentOperation_value_11,pending,54,enabled_value_615,2023-09-27,Formula inversion,exercise_value_212,Sample hint text #142,item_value_592,expert,attempt_count,methodStep_value_523,methodname_35,multipleChoiceAnswer_value_776,numberOfFavorites_value_343,numberOfViews_value_438,5,2023-08-04,2023-11-07,Sample question text #478,resolution_value_55,size_value_641,2023-03-09,stepName_39,13,Calculus,2023-10-17,history,Introduction to Data Science,Sample tokenized_statement text #578,typeC,,,engagementLoop_0001|engagementLoop_0002|engagementLoop_0003,problem_0002|problem_0017,problemNext_0010|problemNext_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0019,cooperative,hippocampus,acetylcholine,Chemistry,isExplained_value_945,84.46,29.1,desiredPoints_value_738,Geography,mastery_level,expert,Sign error,hasPG_value_275,hasPS_value_275,hasPT_value_778,typeB,cluster_4,medium,precedence_value_85,0.142,0.53,0.28,hasCalculations_value_144,hasSuggestedTags_value_704,has_Answers_value_952,has_Epoch_value_44,has_Knowledge_value_594,has_token_value_970,superKC_value_177,OptionAnswer_value_470,Too abstract,context_value_600,corrected_value_252,currentOperation_value_702,active,80,enabled_value_529,2023-02-22,Off-by-one error,exercise_value_147,Sample hint text #142,item_value_39,medium,score,methodStep_value_350,methodname_84,multipleChoiceAnswer_value_99,numberOfFavorites_value_142,numberOfViews_value_661,17,2023-06-03,2023-04-13,Sample question text #522,resolution_value_286,size_value_33,2023-06-10,stepName_14,13,Statistics,2023-06-06,biology,Advanced Physics,Sample tokenized_statement text #9,typeA,,,engagementLoop_0005|engagementLoop_0006|engagementLoop_0009,problem_0005|problem_0020,problemNext_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0020,cooperative,prefrontal,serotonin,Data Science,isExplained_value_442,2.66,24.19,desiredPoints_value_779,Calculus,engagement_score,hard,Sign error,hasPG_value_165,hasPS_value_437,hasPT_value_479,typeB,cluster_5,hard,precedence_value_433,0.272,0.636,0.078,hasCalculations_value_64,hasSuggestedTags_value_837,has_Answers_value_825,has_Epoch_value_214,has_Knowledge_value_144,has_token_value_224,superKC_value_238,OptionAnswer_value_558,Could be improved,context_value_828,corrected_value_363,currentOperation_value_831,pending,36,enabled_value_458,2023-12-14,Formula inversion,exercise_value_242,Sample hint text #57,item_value_765,hard,mastery_level,methodStep_value_352,methodname_69,multipleChoiceAnswer_value_179,numberOfFavorites_value_80,numberOfViews_value_636,14,2023-12-09,2023-06-20,Sample question text #983,resolution_value_628,size_value_430,2023-09-05,stepName_18,9,Biology,2023-02-05,statistics,Research Methods,Sample tokenized_statement text #901,typeA,,,engagementLoop_0002,problem_0013|problem_0020,problemNext_0013|problemNext_0020|problemNext_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
