source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score,top5_influent_nodes,best_ontology_path
demo_GR1,Level_Up,0.5632934674802168,0.20414194021132193,1.0,True,GamifiedResource,Level,0.6506347739841735,0.7018913020380473,1.0,1,direct,0.6533820599428066,,demo_GR1 → Level_Up
demo_GR2,Availability_Block_Game_by_level,0.5114994413603102,0.27539710932690903,0.0,True,GamifiedResource,Level,0.4091995530882482,0.7018913020380473,1.0,1,direct,0.6352541508008394,,demo_GR2 → Availability_Block_Game_by_level
Single_level_inheritance,Level_Up,0.8885032425638888,0.20204771053883108,1.0,False,GamifiedResource,Level,0.9108025940511111,0.41358786625002186,0.5,2,indirect,0.5798082479598752,Multi-level_inheritance | Inheritance | Extend_Keyword,Single_level_inheritance → Multi-level_inheritance → Level_Up
Super_Keyword,Level_Up,0.8801005825231737,0.19823079503638433,1.0,False,GamifiedResource,Level,0.9040804660185391,0.4137652005627252,0.5,2,indirect,0.5769825842488822,Multi-level_inheritance | Inheritance | Inheritance_vs_Composition,Super_Keyword → Multi-level_inheritance → Level_Up
Loops,Level_Up,0.88431761962234,0.19986752090949272,1.0,False,GamifiedResource,Level,0.907454095697872,0.4031977054846349,0.5,2,indirect,0.5715896754328317,Task_about_Java_Basics | Java_Basics | BLockGame,Loops → Task_about_Java_Basics → Level_Up
Strings,Level_Up,0.8870979303123487,0.20127957421261064,1.0,False,GamifiedResource,Level,0.909678344249879,0.3905504872799276,0.5,2,indirect,0.564342092341275,Task_about_Java_Basics | Variables | Java_Basics | Stash,Strings → Variables → Level_Up
3.16.0,Level_Up,0.22709544317183822,0.19522106146575813,1.0,False,unknown,Level,0.3816763545374706,0.7430540869180592,1.0,1,direct,0.5624685616068819,Tiny_stash | Variables | Buil-in_Data_Types,3.16.0 → Level_Up
Inheritance,Level_Up,0.844835512383618,0.21572275242745007,1.0,False,Lesson,Level,0.8758684099068945,0.40358013571171086,0.5,2,indirect,0.5580195175468783,Multi-level_inheritance | Super_Keyword | Single_level_inheritance,Inheritance → Multi-level_inheritance → Level_Up
RF_GE_STash,Stash,0.19761216192535294,0.21462620999289958,0.9172442572270822,False,ReferenceKey,Reward,0.3415385809856988,0.745656012527252,1.0,1,direct,0.5538406648165873,OOPCourseCommunity | IK_GE_stash | JavaFunctions | JavaIf | Functions,RF_GE_STash → Stash
Loops,Stash,0.8490552192433979,0.18925263118570235,0.9172442572270822,False,GamifiedResource,Reward,0.8626930268401348,0.393188972565102,0.5,2,indirect,0.5527421589025056,Control_Statements | Functions | Task_about_Java_Basics,Loops → Control_Statements → Stash
Java_Basics,Level_Up,0.8450550784304045,0.21552961952136218,1.0,False,Lesson,Level,0.8760440627443236,0.3931235127131284,0.5,2,indirect,0.5512995607141751,Task_about_Java_Basics | Variables | Arithmetic_operations,Java_Basics → Variables → Level_Up
Arguments_and_parameters,Level_Up,0.8418005414339005,0.19168954870385305,1.0,False,GamifiedResource,Level,0.8734404331471204,0.39106591824153103,0.5,2,indirect,0.5488230363588603,Overloading | Overriding | Polymorphism | Overloaded_constructors,Arguments_and_parameters → Overloading → Level_Up
Task_about_Polymorphism,Level_Up,0.8329753706413466,0.19889935629773461,1.0,False,GamifiedResource,Level,0.8663802965130774,0.39106588555518684,0.5,2,indirect,0.5457342053353428,Overriding | Overloading | Polymorphism | Overloaded_constructors,Task_about_Polymorphism → Overriding → Level_Up
Polymorphism,Level_Up,0.8462939613332996,0.2147536798103214,1.0,False,Lesson,Level,0.8770351690666398,0.3836129632609123,0.5,2,indirect,0.5455513125862479,Overloading | Overriding | Overloaded_constructors,Polymorphism → Overloading → Level_Up
Java_Basics,Stash,0.8457899991166495,0.21292500466766645,0.9172442572270822,False,Lesson,Reward,0.8600808507387361,0.3829805914552289,0.5,2,indirect,0.5449638841367261,Functions | Control_Statements | Arithmetic_operations,Java_Basics → Functions → Stash
3.16.0,Tiny_stash,0.1624886053237577,0.22388013176082433,0.0415518252487452,False,unknown,Reward,0.1383012493087552,0.7430540869180592,1.0,1,direct,0.5398561683600537,Level_Up | Variables | Buil-in_Data_Types,3.16.0 → Tiny_stash
RFK_GE_TinyStash,Tiny_stash,0.15147491143681996,0.22714345838301703,0.0415518252487452,False,ReferenceKey,Reward,0.12949029419920502,0.7456823250343286,1.0,1,direct,0.5377097302752006,OOPCourseCommunity | IK_GE_TinyStash | JavaVariables | DataTypes | RFK_L1_R1,RFK_GE_TinyStash → Tiny_stash
RF_GE_BloackGame,BLockGame,0.14908876587518408,0.22840267683149476,0.12935257077791257,False,ReferenceKey,Badge,0.14514152685572979,0.7455483110231311,1.0,1,direct,0.5367874702213496,OOPCourseCommunity | IK_GE_BlockGame | JavaIf | JavaForWhile | RFK_L1_R4,RF_GE_BloackGame → BLockGame
Java_Basics,Tiny_stash,0.7865475035205218,0.29597095287313985,0.0415518252487452,False,Lesson,Reward,0.6375483678661665,0.3981942215561617,0.5,2,indirect,0.5341178702436877,Variables | Strings | Level_Up | Buil-in_Data_Types,Java_Basics → Variables → Tiny_stash
Java_Basics,BLockGame,0.8144956607851208,0.23915173408225296,0.12935257077791257,False,Lesson,Badge,0.6774670427836792,0.3829668631906672,0.5,2,indirect,0.5340019423487259,Control_Statements | Task_about_Java_Basics | Loops,Java_Basics → Control_Statements → BLockGame
Functions,BLockGame,0.7734039869192315,0.15158608235859009,0.12935257077791257,False,GamifiedResource,Badge,0.6445937036909678,0.40325065736223004,0.5,2,indirect,0.5328043227071806,Control_Statements | Loops | Stash,Functions → Control_Statements → BLockGame
Strings,Tiny_stash,0.7738063474788308,0.19474630889185762,0.0415518252487452,False,GamifiedResource,Reward,0.6273554430328138,0.39813653015865835,0.5,2,indirect,0.5296209662207187,Variables | Java_Basics | Level_Up | Buil-in_Data_Types,Strings → Variables → Tiny_stash
Tiny_stash,Level_Up,0.7502978140728553,0.15688872424801262,1.0,False,Reward,Level,0.8002382512582844,0.3829270294325421,0.5,2,indirect,0.5115068040566517,Variables | 3.16.0 | Buil-in_Data_Types,Tiny_stash → Buil-in_Data_Types → Level_Up
block_xp,Level_Up,0.15363381758442266,0.22226900426039073,1.0,False,unknown,Level,0.32290705406753817,0.7018913020380473,1.0,1,direct,0.5100011824792786,,block_xp → Level_Up
Level Up XP,Level_Up,0.15363381758442266,0.22226900426039073,1.0,False,unknown,Level,0.32290705406753817,0.7018913020380473,1.0,1,direct,0.5100011824792786,,Level Up XP → Level_Up
"Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences.",Level_Up,0.15363381758442266,0.22226900426039073,1.0,False,unknown,Level,0.32290705406753817,0.7018913020380473,1.0,1,direct,0.5100011824792786,,"Learners receive points for their actions, visualise their progress, compete with others through a leaderboard, and unlock content based on their individual needs and experiences. → Level_Up"
Extend_Keyword,Level_Up,0.8817607986487731,0.1990195204381048,1.0,False,GamifiedResource,Level,0.9054086389190186,0.3070983761299706,0.3333333333333333,3,indirect,0.5082302240115515,Multi-level_inheritance | Single_level_inheritance | Inheritance,Extend_Keyword → Single_level_inheritance → Multi-level_inheritance → Level_Up
Inheritance_vs_Composition,Level_Up,0.8791894536830043,0.19804551445453586,1.0,False,GamifiedResource,Level,0.9033515629464035,0.30716226703742283,0.3333333333333333,3,indirect,0.5073717823633763,Multi-level_inheritance | Super_Keyword | Inheritance,Inheritance_vs_Composition → Super_Keyword → Multi-level_inheritance → Level_Up
block_stash,Stash,0.14572035707298797,0.21918388762461596,0.9172442572270822,False,unknown,Reward,0.30002513710380685,0.7018913020380473,1.0,1,direct,0.5072314713002765,,block_stash → Stash
"Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course.",Stash,0.14572035707298797,0.21918388762461596,0.9172442572270822,False,unknown,Reward,0.30002513710380685,0.7018913020380473,1.0,1,direct,0.5072314713002765,,"Enables teachers to create items that students can collect, providing an interactive experience where students find items across the course. → Stash"
2.1.1,Stash,0.14572035707298797,0.21918388762461596,0.9172442572270822,False,unknown,Reward,0.30002513710380685,0.7018913020380473,1.0,1,direct,0.5072314713002765,,2.1.1 → Stash
Variables,Stash,0.7225127490496865,0.14834045892410408,0.9172442572270822,False,GamifiedResource,Reward,0.7614590506851657,0.39060102036805233,0.5,2,indirect,0.5067701254066244,Strings | Functions | Task_about_Java_Basics | Level_Up,Variables → Strings → Stash
Arithmetic_operations,Level_Up,0.6908805160950827,0.11497977373976993,1.0,False,Resource,Level,0.7527044128760663,0.40323915176907354,0.5,2,indirect,0.5039136292831767,Task_about_Java_Basics | RFK_L1_R6 | Stash,Arithmetic_operations → Task_about_Java_Basics → Level_Up
block_game,BLockGame,0.12867499235487959,0.22046302005036023,0.12935257077791257,False,unknown,Badge,0.12881050803948618,0.7018913020380473,1.0,1,direct,0.5012655936489385,,block_game → BLockGame
3.0.0,BLockGame,0.12867499235487959,0.22046302005036023,0.12935257077791257,False,unknown,Badge,0.12881050803948618,0.7018913020380473,1.0,1,direct,0.5012655936489385,,3.0.0 → BLockGame
Allows the user to choose or change their avatar at any time.,BLockGame,0.12867499235487959,0.22046302005036023,0.12935257077791257,False,unknown,Badge,0.12881050803948618,0.7018913020380473,1.0,1,direct,0.5012655936489385,,Allows the user to choose or change their avatar at any time. → BLockGame
Tiny Stash,Tiny_stash,0.12448340317217463,0.22645732541785635,0.0415518252487452,False,unknown,Reward,0.10789708758748874,0.7018913020380473,1.0,1,direct,0.49979853743499186,,Tiny Stash → Tiny_stash
tiny_stash,Tiny_stash,0.12448340317217463,0.22645732541785635,0.0415518252487452,False,unknown,Reward,0.10789708758748874,0.7018913020380473,1.0,1,direct,0.49979853743499186,,tiny_stash → Tiny_stash
A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course,Tiny_stash,0.12448340317217463,0.22645732541785635,0.0415518252487452,False,unknown,Reward,0.10789708758748874,0.7018913020380473,1.0,1,direct,0.49979853743499186,,A companion plugin for block_stash. This allows you to create items and trades from the TinyMCE editor to be inserted into the activities in your course → Tiny_stash
Parent_classes,Level_Up,0.8607883706803807,0.1910282080985326,1.0,False,GamifiedResource,Level,0.8886306965443047,0.296994765648689,0.3333333333333333,3,indirect,0.49432252740978105,Multi-level_inheritance | Inheritance | Super_Keyword | Single_level_inheritance,Parent_classes → Inheritance → Multi-level_inheritance → Level_Up
Control_Statements,Level_Up,0.8850027377466132,0.2002101460091545,1.0,False,GamifiedResource,Level,0.9080021901972906,0.2814368502843552,0.3333333333333333,3,indirect,0.4926849108961455,Task_about_Java_Basics | Loops | Stash | BLockGame,Control_Statements → Stash → Task_about_Java_Basics → Level_Up
RF_GE_Motrain,Motrain,0.09795563471014328,0.19238719459707995,0.0,False,ReferenceKey,GameElementResource,0.07836450776811463,0.7018913020380473,1.0,1,direct,0.49051381847328085,,N/A
OOPCourseCommunity,Motrain,0.7866675241766338,0.30055425750462517,0.0,False,Space,GameElementResource,0.6293340193413071,0.32756676098264803,0.3333333333333333,3,indirect,0.488252028100543,IK_GE_Motrain | RF_GE_Motrain,OOPCourseCommunity → IK_GE_Motrain → RF_GE_Motrain → Motrain
Task_about_Inheritance,Level_Up,0.8761540159548348,0.19768329760964629,1.0,False,GamifiedResource,Level,0.9009232127638678,0.27906651505059427,0.3333333333333333,3,indirect,0.4880471403670784,Multi-level_inheritance | Inheritance | Arguments_and_parameters | Overloading | Single_level_inheritance,Task_about_Inheritance → Inheritance → Multi-level_inheritance → Level_Up
Level_Up,Tiny_stash,0.6820814238228821,0.14100849120768133,0.0415518252487452,False,Level,Reward,0.5539755041080547,0.3829270294325421,0.5,2,indirect,0.4876310674691611,Variables | 3.16.0 | Buil-in_Data_Types,Level_Up → Buil-in_Data_Types → Tiny_stash
Functions,Level_Up,0.8864029427492272,0.2009148326235497,1.0,False,GamifiedResource,Level,0.9091223541993818,0.27239520605141615,0.3333333333333333,3,indirect,0.48729791389564997,Task_about_Java_Basics | Variables | Strings | Java_Basics | Stash,Functions → Stash → Task_about_Java_Basics → Level_Up
Buil-in_Data_Types,Stash,0.8560958460612348,0.2001728699762085,0.9172442572270822,False,GamifiedResource,Reward,0.8683255282944043,0.2845767005076814,0.3333333333333333,3,indirect,0.4846084014514251,Variables | Strings | Level_Up | Task_about_Java_Basics | Tiny_stash,Buil-in_Data_Types → Level_Up → Task_about_Java_Basics → Stash
Multi-level_inheritance,Stash,0.8520925103025228,0.19112985018722453,0.9172442572270822,False,GamifiedResource,Reward,0.8651228596874347,0.2845857219386791,0.3333333333333333,3,indirect,0.48321309786602434,Level_Up | Task_about_Java_Basics | Variables | Strings | Arithmetic_operations,Multi-level_inheritance → Level_Up → Task_about_Java_Basics → Stash
Classes_and_Objects,Stash,0.8470841478973176,0.21289771497857615,0.9172442572270822,False,Lesson,Reward,0.8611161697632705,0.2815415773311545,0.3333333333333333,3,indirect,0.47948147702931154,Java_Basics | Functions | Control_Statements | Arithmetic_operations,Classes_and_Objects → Java_Basics → Functions → Stash
Buil-in_Data_Types,BLockGame,0.8251803025651538,0.21455050018528138,0.12935257077791257,False,GamifiedResource,Badge,0.6860147562077056,0.290598178835197,0.3333333333333333,3,indirect,0.4777019221406819,Task_about_Java_Basics | Level_Up | Loops | 3.16.0 | Tiny_stash,Buil-in_Data_Types → Level_Up → Task_about_Java_Basics → BLockGame
Graphical_User_Interface,Level_Up,0.83633448488009,0.2244375605423983,1.0,False,Lesson,Level,0.8690675879040721,0.28202605432480576,0.3333333333333333,3,indirect,0.4760340050191552,Polymorphism | Overloading | Overriding | Overloaded_constructors,Graphical_User_Interface → Polymorphism → Overloaded_constructors → Level_Up
Class_Methods_and_Constructors,Level_Up,0.8450431982139847,0.21554457324572557,1.0,False,Lesson,Level,0.8760345585711877,0.2767600445752102,0.3333333333333333,3,indirect,0.47565914834878126,Multi-level_inheritance | Inheritance | Overloading | ObjectOrientedProgramming | Single_level_inheritance,Class_Methods_and_Constructors → Inheritance → Multi-level_inheritance → Level_Up
ObjectOrientedProgramming,Stash,0.8262483545267874,0.23776251896281544,0.9172442572270822,False,onlineCourse,Reward,0.8444475350668463,0.2815415773311545,0.3333333333333333,3,indirect,0.47218894934962596,Java_Basics | Functions | Control_Statements | Arithmetic_operations,ObjectOrientedProgramming → Java_Basics → Functions → Stash
Classes_and_Objects,Level_Up,0.8441729389519488,0.21640905985066727,1.0,False,Lesson,Level,0.8753383511615591,0.27161872233326867,0.3333333333333333,3,indirect,0.47201269814980673,Java_Basics | Overloading | ObjectOrientedProgramming | Variables | Task_about_Java_Basics,Classes_and_Objects → Java_Basics → Task_about_Java_Basics → Level_Up
GUI_Elements,Level_Up,0.8309527341452668,0.19794999015967435,1.0,False,GamifiedResource,Level,0.8647621873162135,0.2769189219988917,0.3333333333333333,3,indirect,0.470830756250123,Task_about_Polymorphism | Polymorphism | Overloading | Overriding | Graphical_User_Interface,GUI_Elements → Task_about_Polymorphism → Overriding → Level_Up
Functions,Tiny_stash,0.7730292433980143,0.19534005235276775,0.0415518252487452,False,GamifiedResource,Reward,0.6267337597681605,0.3070431144173857,0.3333333333333333,3,indirect,0.47013825956060573,Variables | Strings | Java_Basics,Functions → Strings → Variables → Tiny_stash
Classes_and_Objects,BLockGame,0.8181555300309815,0.24121061758568738,0.12935257077791257,False,Lesson,Badge,0.6803949381803678,0.28153128113273324,0.3333333333333333,3,indirect,0.4693497682471201,Java_Basics | Control_Statements | Task_about_Java_Basics | Loops,Classes_and_Objects → Java_Basics → Control_Statements → BLockGame
Task_about_Java_Basics,Tiny_stash,0.8335599075123918,0.21965926283235926,0.0415518252487452,False,GamifiedResource,Reward,0.6751582910596625,0.2723202366523716,0.3333333333333333,3,indirect,0.4687541214533787,Level_Up | Variables | 3.16.0 | Java_Basics | Buil-in_Data_Types,Task_about_Java_Basics → Level_Up → Buil-in_Data_Types → Tiny_stash
Sara,Level_Up,0.8164256917635007,0.24437574760778372,1.0,False,Person,Level,0.8531405534108005,0.2814805846128875,0.3333333333333333,3,indirect,0.4687113721156021,Buil-in_Data_Types | Participation | PO1 | effectively_use_the_built-in_data_types,Sara → Participation → Buil-in_Data_Types → Level_Up
Classes_and_Objects,Tiny_stash,0.7868420684022533,0.2971981501405764,0.0415518252487452,False,Lesson,Reward,0.6377840197715517,0.2969293602739558,0.3333333333333333,3,indirect,0.4683988081188599,Variables | Java_Basics | ObjectOrientedProgramming | Strings,Classes_and_Objects → Java_Basics → Variables → Tiny_stash
Access_Modifiers,Level_Up,0.8877773069316257,0.20164584293862103,1.0,False,GamifiedResource,Level,0.9102218455453006,0.23849164636907164,0.25,4,indirect,0.4657416275659655,Classes_and_Objects | Java_Basics | Variables | Packages | Task_about_Java_Basics,Access_Modifiers → Classes_and_Objects → Java_Basics → Task_about_Java_Basics → Level_Up
Packages,Level_Up,0.8877762098803178,0.2016452406144353,1.0,False,GamifiedResource,Level,0.9102209679042543,0.23849156792184556,0.25,4,indirect,0.46574119260731084,Classes_and_Objects | Java_Basics | Task_about_Java_Basics | Variables | Array_of_instances,Packages → Classes_and_Objects → Java_Basics → Task_about_Java_Basics → Level_Up
Class_Instance,Level_Up,0.8877755482793361,0.20164487737278955,1.0,False,GamifiedResource,Level,0.9102204386234689,0.2384915417727702,0.25,4,indirect,0.4657409440500683,Classes_and_Objects | Java_Basics | Task_about_Java_Basics | Variables | Class_attributes_and_functions,Class_Instance → Classes_and_Objects → Java_Basics → Task_about_Java_Basics → Level_Up
ObjectOrientedProgramming,Level_Up,0.8199941226244146,0.24657463044692193,1.0,False,onlineCourse,Level,0.8559952980995318,0.2725665086440708,0.3333333333333333,3,indirect,0.4641661735371911,Polymorphism | Overloading | Task_about_Java_Basics | Java_Basics | Overloaded_constructors,ObjectOrientedProgramming → Polymorphism → Overloading → Level_Up
Control_Statements,Tiny_stash,0.7747686548631465,0.1931743037495494,0.0415518252487452,False,GamifiedResource,Reward,0.6281252889402663,0.29680802856430566,0.3333333333333333,3,indirect,0.4640942477688999,Variables | Strings | Java_Basics | Stash,Control_Statements → Java_Basics → Variables → Tiny_stash
ObjectOrientedProgramming,Tiny_stash,0.7745714653970565,0.32034720589503735,0.0415518252487452,False,onlineCourse,Reward,0.6279675373673942,0.2968358773295594,0.3333333333333333,3,indirect,0.46404333315318336,Variables | Java_Basics | Strings | Classes_and_Objects,ObjectOrientedProgramming → Java_Basics → Variables → Tiny_stash
Task_about_Classes_and_Objects,Level_Up,0.881070299698304,0.19872799872774122,1.0,False,GamifiedResource,Level,0.9048562397586433,0.23849180326352376,0.25,4,indirect,0.4633942770156968,Classes_and_Objects | Java_Basics | Variables | Access_Modifiers | Task_about_Java_Basics,Task_about_Classes_and_Objects → Classes_and_Objects → Java_Basics → Variables → Level_Up
ObjectOrientedProgramming,BLockGame,0.8004947267428537,0.27429661828324114,0.12935257077791257,False,onlineCourse,Badge,0.6662662955498655,0.28153128113273324,0.3333333333333333,3,indirect,0.4631684870962754,Java_Basics | Control_Statements | Task_about_Java_Basics | Loops,ObjectOrientedProgramming → Java_Basics → Control_Statements → BLockGame
Stash,Level_Up,0.5955612961396554,0.08686848945175901,1.0,False,Reward,Level,0.6764490369117243,0.39061948815252223,0.5,2,indirect,0.46234912094801883,Task_about_Java_Basics | Variables | Strings | Arithmetic_operations,Stash → Task_about_Java_Basics → Level_Up
BLockGame,Level_Up,0.580498103485612,0.14774495342493657,1.0,False,Badge,Level,0.6643984827884897,0.39821697125172106,0.5,2,indirect,0.46201536753358285,Task_about_Java_Basics | Variables | Loops | Java_Basics,BLockGame → Task_about_Java_Basics → Level_Up
OOPCourseCommunity,Level_Up,0.8103503301938375,0.2620093328752978,1.0,False,Space,Level,0.84828026415507,0.27152057613710057,0.3333333333333333,3,indirect,0.4601109900569585,LevelGE | DataTypes | ReferenceKey1 | IK_GE_LevelUp | IK2,OOPCourseCommunity → IK2 → LevelGE → Level_Up
Task_about_Class_Methods_and_Constructors,Level_Up,0.8810839064656305,0.19873602574059127,1.0,False,GamifiedResource,Level,0.9048671251725044,0.23246146039946264,0.25,4,indirect,0.4594793165226214,Multi-level_inheritance | Extend_Keyword | Inheritance | Single_level_inheritance | Class_Methods_and_Constructors,Task_about_Class_Methods_and_Constructors → Class_Methods_and_Constructors → Inheritance → Multi-level_inheritance → Level_Up
OOPCourseCommunity,Stash,0.8149416327476502,0.25477448338695663,0.9172442572270822,False,Space,Reward,0.8354021576435366,0.26651577930713555,0.3333333333333333,3,indirect,0.45846482801131566,JavaFunctions | JavaIf | IK_GE_stash | Functions | RFK_L1_R3,OOPCourseCommunity → IK_GE_stash → RF_GE_STash → Stash
Static_Keyword,Level_Up,0.887788758960031,0.20165213095093693,1.0,False,GamifiedResource,Level,0.9102310071680249,0.22563097450743044,0.25,4,indirect,0.45738619906584055,Class_Methods_and_Constructors | Multi-level_inheritance | Inheritance | Overloading | ObjectOrientedProgramming,Static_Keyword → Class_Methods_and_Constructors → Inheritance → Multi-level_inheritance → Level_Up
This_Keyword,Level_Up,0.8877869759610695,0.2016511519044371,1.0,False,GamifiedResource,Level,0.9102295807688556,0.22563089979578654,0.25,4,indirect,0.4573855264536355,Class_Methods_and_Constructors | Multi-level_inheritance | Inheritance | Overloading | ObjectOrientedProgramming,This_Keyword → Class_Methods_and_Constructors → Inheritance → Multi-level_inheritance → Level_Up
Constructors,Level_Up,0.8877862815256272,0.20165077059402745,1.0,False,GamifiedResource,Level,0.9102290252205019,0.22563086243996464,0.25,4,indirect,0.45738525911994654,Class_Methods_and_Constructors | Multi-level_inheritance | Inheritance | Overloading | ObjectOrientedProgramming,Constructors → Class_Methods_and_Constructors → Inheritance → Multi-level_inheritance → Level_Up
Multi-level_inheritance,Tiny_stash,0.7723976077161313,0.1972039587463739,0.0415518252487452,False,GamifiedResource,Reward,0.6262284512226541,0.2814746030118999,0.3333333333333333,3,indirect,0.4532976546583809,Level_Up | Variables | 3.16.0 | Buil-in_Data_Types,Multi-level_inheritance → Level_Up → Buil-in_Data_Types → Tiny_stash
Sara,Tiny_stash,0.7690328519911607,0.29274446388412306,0.0415518252487452,False,Person,Reward,0.6235366466426776,0.2814805846128875,0.3333333333333333,3,indirect,0.4521238781952831,Buil-in_Data_Types | Participation | PO1 | effectively_use_the_built-in_data_types,Sara → PO1 → Buil-in_Data_Types → Tiny_stash
OOPCourseCommunity,BLockGame,0.7968462891578675,0.28417499476994545,0.12935257077791257,False,Space,Badge,0.6633475454818766,0.26640807780301456,0.3333333333333333,3,indirect,0.4520614517772131,JavaIf | JavaForWhile | IK_GE_BlockGame | RFK_L1_R4 | Control_Statements,OOPCourseCommunity → IK_GE_BlockGame → RF_GE_BloackGame → BLockGame
